Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	geneSymbol
cluster_LE	GO:0048020	CCR chemokine receptor binding	1/575	47/18352	0.77643721280849	0.89472748510022	0.773589238727558	NES	1	NES
cluster_LE	GO:0003727	single-stranded RNA binding	2/575	90/18352	0.777874103112947	0.894932827367807	0.773766779454881	RBMS2/RBMS3	2	RBMS2/RBMS3
cluster_LE	GO:0016879	ligase activity, forming carbon-nitrogen bonds	1/575	48/18352	0.783459807871867	0.898451489349834	0.776809045496045	GCLC	1	GCLC
cluster_LE	GO:0032266	phosphatidylinositol-3-phosphate binding	1/575	48/18352	0.783459807871867	0.898451489349834	0.776809045496045	HIP1	1	HIP1
cluster_LE	GO:0005048	signal sequence binding	1/575	49/18352	0.790262179510507	0.904792930164204	0.782291910897765	NFKBIA	1	NFKBIA
cluster_LE	GO:0016538	cyclin-dependent protein serine/threonine kinase regulator activity	1/575	50/18352	0.796851222114532	0.907861619004132	0.784945126209806	CCND1	1	CCND1
cluster_LE	GO:0016763	transferase activity, transferring pentosyl groups	1/575	50/18352	0.796851222114532	0.907861619004132	0.784945126209806	GXYLT1	1	GXYLT1
cluster_LE	GO:0031406	carboxylic acid binding	5/575	212/18352	0.797858394569753	0.907861619004132	0.784945126209806	LYVE1/FABP5/HYAL2/GCLC/EGLN3	5	LYVE1/FABP5/HYAL2/GCLC/EGLN3
cluster_LE	GO:0032182	ubiquitin-like protein binding	2/575	94/18352	0.798049946381973	0.907861619004132	0.784945126209806	TNFAIP3/HSPB1	2	TNFAIP3/HSPB1
cluster_LE	GO:0005544	calcium-dependent phospholipid binding	1/575	54/18352	0.821204588144592	0.931222427704633	0.805143086504561	CPNE8	1	CPNE8
cluster_LE	GO:0019829	ATPase-coupled cation transmembrane transporter activity	1/575	54/18352	0.821204588144592	0.931222427704633	0.805143086504561	ATP2B1	1	ATP2B1
cluster_LE	GO:0030170	pyridoxal phosphate binding	1/575	55/18352	0.826823090812472	0.934612428565449	0.808074111010766	SPTLC2	1	SPTLC2
cluster_LE	GO:0070279	vitamin B6 binding	1/575	55/18352	0.826823090812472	0.934612428565449	0.808074111010766	SPTLC2	1	SPTLC2
cluster_LE	GO:0015293	symporter activity	3/575	143/18352	0.829764993095094	0.935955086560909	0.809234984901282	SLC39A14/SLC12A2/SLC38A1	3	SLC39A14/SLC12A2/SLC38A1
cluster_LE	GO:0001085	RNA polymerase II transcription factor binding	1/575	56/18352	0.832265333955218	0.935955086560909	0.809234984901282	KLF4	1	KLF4
cluster_LE	GO:0008408	3'-5' exonuclease activity	1/575	56/18352	0.832265333955218	0.935955086560909	0.809234984901282	CNOT6L	1	CNOT6L
cluster_LE	GO:0019842	vitamin binding	3/575	144/18352	0.833276469469839	0.935955086560909	0.809234984901282	CD320/SPTLC2/EGLN3	3	CD320/SPTLC2/EGLN3
cluster_LE	GO:0016796	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	1/575	58/18352	0.842642949685198	0.94349470429319	0.815753804585422	CNOT6L	1	CNOT6L
cluster_LE	GO:0042625	ATPase-coupled ion transmembrane transporter activity	1/575	58/18352	0.842642949685198	0.94349470429319	0.815753804585422	ATP2B1	1	ATP2B1
cluster_LE	GO:0004620	phospholipase activity	2/575	105/18352	0.84538965102083	0.944570019574965	0.816683531618594	PLCB1/PLCE1	2	PLCB1/PLCE1
cluster_LE	GO:0008028	monocarboxylic acid transmembrane transporter activity	1/575	59/18352	0.847588850195257	0.944570019574965	0.816683531618594	CD36	1	CD36
cluster_LE	GO:0016597	amino acid binding	1/575	59/18352	0.847588850195257	0.944570019574965	0.816683531618594	GCLC	1	GCLC
cluster_LE	GO:0031490	chromatin DNA binding	2/575	106/18352	0.849151959019774	0.944831052993833	0.816909223404247	JMJD1C/ACTN4	2	JMJD1C/ACTN4
cluster_LE	GO:0008094	DNA-dependent ATPase activity	2/575	108/18352	0.856427761811678	0.951437716637661	0.822621402792796	CHD7/SETX	2	CHD7/SETX
cluster_LE	GO:0005125	cytokine activity	5/575	235/18352	0.863413596327609	0.957702132588034	0.828037671820878	GRN/CSF1/TGFB2/TNFSF10/BMP2	5	GRN/CSF1/TGFB2/TNFSF10/BMP2
cluster_LE	GO:0008235	metalloexopeptidase activity	1/575	64/18352	0.87008543353555	0.961361329387074	0.831201445498633	LAP3	1	LAP3
cluster_LE	GO:0019843	rRNA binding	1/575	64/18352	0.87008543353555	0.961361329387074	0.831201445498633	CAVIN1	1	CAVIN1
cluster_LE	GO:0016853	isomerase activity	3/575	156/18352	0.870768911568602	0.961361329387074	0.831201445498633	PPIC/PGM2L1/HMGCS1	3	PPIC/PGM2L1/HMGCS1
cluster_LE	GO:0003684	damaged DNA binding	1/575	65/18352	0.874170127089632	0.963620093582525	0.833154392852461	POLK	1	POLK
cluster_LE	GO:0002039	p53 binding	1/575	66/18352	0.87812660857503	0.966213828587604	0.835396958909113	HIF1A	1	HIF1A
cluster_LE	GO:0004386	helicase activity	3/575	160/18352	0.881501904734484	0.966213828587604	0.835396958909113	CHD7/SETX/DHX29	3	CHD7/SETX/DHX29
cluster_LE	GO:0051536	iron-sulfur cluster binding	1/575	67/18352	0.881958895574338	0.966213828587604	0.835396958909113	REV3L	1	REV3L
cluster_LE	GO:0051540	metal cluster binding	1/575	67/18352	0.881958895574338	0.966213828587604	0.835396958909113	REV3L	1	REV3L
cluster_LE	GO:0035591	signaling adaptor activity	1/575	68/18352	0.88567087999024	0.966771195766007	0.835878863464872	SOCS2	1	SOCS2
cluster_LE	GO:0046943	carboxylic acid transmembrane transporter activity	3/575	162/18352	0.886565369828728	0.966771195766007	0.835878863464872	CD36/SLC7A1/SLC38A1	3	CD36/SLC7A1/SLC38A1
cluster_LE	GO:0005342	organic acid transmembrane transporter activity	3/575	163/18352	0.889023998521866	0.966771195766007	0.835878863464872	CD36/SLC7A1/SLC38A1	3	CD36/SLC7A1/SLC38A1
cluster_LE	GO:0008173	RNA methyltransferase activity	1/575	69/18352	0.88926633197042	0.966771195766007	0.835878863464872	TGS1	1	TGS1
cluster_LE	GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	1/575	69/18352	0.88926633197042	0.966771195766007	0.835878863464872	ASRGL1	1	ASRGL1
cluster_LE	GO:0042379	chemokine receptor binding	1/575	70/18352	0.892748903710124	0.967261704487295	0.836302961611637	NES	1	NES
cluster_LE	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	2/575	120/18352	0.893735962476585	0.967261704487295	0.836302961611637	DHRS3/BMP2	2	DHRS3/BMP2
cluster_LE	GO:0016874	ligase activity	3/575	165/18352	0.893798790222437	0.967261704487295	0.836302961611637	GCLC/ACSL3/ACSL4	3	GCLC/ACSL3/ACSL4
cluster_LE	GO:0140097	catalytic activity, acting on DNA	4/575	209/18352	0.896520696070632	0.967421932156483	0.836441495861109	CHD7/SETX/POLK/REV3L	4	CHD7/SETX/POLK/REV3L
cluster_LE	GO:0001098	basal transcription machinery binding	1/575	72/18352	0.899389447475999	0.967421932156483	0.836441495861109	TCF4	1	TCF4
cluster_LE	GO:0001099	basal RNA polymerase II transcription machinery binding	1/575	72/18352	0.899389447475999	0.967421932156483	0.836441495861109	TCF4	1	TCF4
cluster_LE	GO:0033293	monocarboxylic acid binding	1/575	72/18352	0.899389447475999	0.967421932156483	0.836441495861109	FABP5	1	FABP5
cluster_LE	GO:0016746	transferase activity, transferring acyl groups	5/575	259/18352	0.911807530694239	0.978262666258067	0.845814489739746	SPTLC2/ELOVL5/SAT1/ZDHHC14/HMGCS1	5	SPTLC2/ELOVL5/SAT1/ZDHHC14/HMGCS1
cluster_LE	GO:0003724	RNA helicase activity	1/575	77/18352	0.914249923642946	0.978262666258067	0.845814489739746	DHX29	1	DHX29
cluster_LE	GO:0019905	syntaxin binding	1/575	78/18352	0.916947942461294	0.978262666258067	0.845814489739746	RAB11A	1	RAB11A
cluster_LE	GO:0022804	active transmembrane transporter activity	7/575	344/18352	0.91721465747466	0.978262666258067	0.845814489739746	SLC39A14/CD320/SLC12A2/TAP1/SLC38A1/TAPBP/ATP2B1	7	SLC39A14/CD320/SLC12A2/TAP1/SLC38A1/TAPBP/ATP2B1
cluster_LE	GO:0016298	lipase activity	2/575	130/18352	0.917723204492449	0.978262666258067	0.845814489739746	PLCB1/PLCE1	2	PLCB1/PLCE1
cluster_LE	GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	2/575	130/18352	0.917723204492449	0.978262666258067	0.845814489739746	DHRS3/BMP2	2	DHRS3/BMP2
cluster_LE	GO:0070063	RNA polymerase binding	1/575	79/18352	0.919561214491761	0.978754526203057	0.846239756166386	STOM	1	STOM
cluster_LE	GO:0034987	immunoglobulin receptor binding	1/575	80/18352	0.922092397202166	0.979542747015358	0.846921258800754	FLNA	1	FLNA
cluster_LE	GO:0016779	nucleotidyltransferase activity	2/575	133/18352	0.923863527961775	0.979542747015358	0.846921258800754	POLK/REV3L	2	POLK/REV3L
cluster_LE	GO:0050660	flavin adenine dinucleotide binding	1/575	81/18352	0.92454406486902	0.979542747015358	0.846921258800754	SQLE	1	SQLE
cluster_LE	GO:0015085	calcium ion transmembrane transporter activity	2/575	134/18352	0.925812554141098	0.979542747015358	0.846921258800754	GPM6A/ATP2B1	2	GPM6A/ATP2B1
cluster_LE	GO:0004527	exonuclease activity	1/575	83/18352	0.929218751739683	0.979672308235105	0.847033278568808	CNOT6L	1	CNOT6L
cluster_LE	GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups	4/575	229/18352	0.931203793833236	0.979672308235105	0.847033278568808	SPTLC2/ELOVL5/SAT1/ZDHHC14	4	SPTLC2/ELOVL5/SAT1/ZDHHC14
cluster_LE	GO:0022853	active ion transmembrane transporter activity	4/575	229/18352	0.931203793833236	0.979672308235105	0.847033278568808	SLC39A14/SLC12A2/SLC38A1/ATP2B1	4	SLC39A14/SLC12A2/SLC38A1/ATP2B1
cluster_LE	GO:0008080	N-acetyltransferase activity	1/575	84/18352	0.931446526535768	0.979672308235105	0.847033278568808	SAT1	1	SAT1
cluster_LE	GO:0008514	organic anion transmembrane transporter activity	4/575	233/18352	0.936730686632968	0.983774768384107	0.850580301630496	CD36/SLC7A1/SLC38A1/GJA1	4	CD36/SLC7A1/SLC38A1/GJA1
cluster_LE	GO:0015081	sodium ion transmembrane transporter activity	2/575	152/18352	0.953770374651489	0.999935463284584	0.864552980321559	SLC12A2/SLC38A1	2	SLC12A2/SLC38A1
cluster_LE	GO:0008170	N-methyltransferase activity	1/575	100/18352	0.958913013316262	0.999935463284584	0.864552980321559	NNMT	1	NNMT
cluster_LE	GO:0016407	acetyltransferase activity	1/575	105/18352	0.96499040721724	0.999935463284584	0.864552980321559	SAT1	1	SAT1
cluster_LE	GO:0004842	ubiquitin-protein transferase activity	8/575	435/18352	0.965046487477225	0.999935463284584	0.864552980321559	HECW2/TNFAIP1/PELI1/TRIM56/RNF213/TNFAIP3/XIAP/RNF217	8	HECW2/TNFAIP1/PELI1/TRIM56/RNF213/TNFAIP3/XIAP/RNF217
cluster_LE	GO:0016410	N-acyltransferase activity	1/575	107/18352	0.967162147602533	0.999935463284584	0.864552980321559	SAT1	1	SAT1
cluster_LE	GO:0030594	neurotransmitter receptor activity	1/575	111/18352	0.971110446778637	0.999935463284584	0.864552980321559	TSPO	1	TSPO
cluster_LE	GO:0003697	single-stranded DNA binding	1/575	114/18352	0.973757376557428	0.999935463284584	0.864552980321559	SMC2	1	SMC2
cluster_LE	GO:0000149	SNARE binding	1/575	115/18352	0.97458474296161	0.999935463284584	0.864552980321559	RAB11A	1	RAB11A
cluster_LE	GO:0019787	ubiquitin-like protein transferase activity	8/575	457/18352	0.976470922917138	0.999935463284584	0.864552980321559	HECW2/TNFAIP1/PELI1/TRIM56/RNF213/TNFAIP3/XIAP/RNF217	8	HECW2/TNFAIP1/PELI1/TRIM56/RNF213/TNFAIP3/XIAP/RNF217
cluster_LE	GO:0004540	ribonuclease activity	1/575	118/18352	0.97691384393363	0.999935463284584	0.864552980321559	CNOT6L	1	CNOT6L
cluster_LE	GO:0005262	calcium channel activity	1/575	118/18352	0.97691384393363	0.999935463284584	0.864552980321559	GPM6A	1	GPM6A
cluster_LE	GO:0051082	unfolded protein binding	1/575	118/18352	0.97691384393363	0.999935463284584	0.864552980321559	TAPBP	1	TAPBP
cluster_LE	GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	1/575	121/18352	0.979029838812617	0.999935463284584	0.864552980321559	ASRGL1	1	ASRGL1
cluster_LE	GO:0005179	hormone activity	1/575	122/18352	0.979691231094047	0.999935463284584	0.864552980321559	IGF1	1	IGF1
cluster_LE	GO:0015291	secondary active transmembrane transporter activity	3/575	236/18352	0.979996953416175	0.999935463284584	0.864552980321559	SLC39A14/SLC12A2/SLC38A1	3	SLC39A14/SLC12A2/SLC38A1
cluster_LE	GO:0046873	metal ion transmembrane transporter activity	7/575	428/18352	0.982066191222978	0.999935463284584	0.864552980321559	SLC39A14/SLC12A2/SLC39A10/SLC38A1/SLC30A1/GPM6A/ATP2B1	7	SLC39A14/SLC12A2/SLC39A10/SLC38A1/SLC30A1/GPM6A/ATP2B1
cluster_LE	GO:0004519	endonuclease activity	1/575	127/18352	0.98269860570022	0.999935463284584	0.864552980321559	ENDOD1	1	ENDOD1
cluster_LE	GO:0061630	ubiquitin protein ligase activity	4/575	292/18352	0.982822060322078	0.999935463284584	0.864552980321559	HECW2/PELI1/XIAP/RNF217	4	HECW2/PELI1/XIAP/RNF217
cluster_LE	GO:0016829	lyase activity	2/575	189/18352	0.983039727539445	0.999935463284584	0.864552980321559	MGST2/NPR1	2	MGST2/NPR1
cluster_LE	GO:0061659	ubiquitin-like protein ligase activity	4/575	301/18352	0.98605719295403	0.999935463284584	0.864552980321559	HECW2/PELI1/XIAP/RNF217	4	HECW2/PELI1/XIAP/RNF217
cluster_LE	GO:0005244	voltage-gated ion channel activity	2/575	197/18352	0.986405801885513	0.999935463284584	0.864552980321559	CLIC4/CLIC2	2	CLIC4/CLIC2
cluster_LE	GO:0022832	voltage-gated channel activity	2/575	197/18352	0.986405801885513	0.999935463284584	0.864552980321559	CLIC4/CLIC2	2	CLIC4/CLIC2
cluster_LE	GO:0004518	nuclease activity	2/575	210/18352	0.990537783591923	0.999935463284584	0.864552980321559	ENDOD1/CNOT6L	2	ENDOD1/CNOT6L
cluster_LE	GO:0008168	methyltransferase activity	2/575	218/18352	0.992441211910613	0.999935463284584	0.864552980321559	NNMT/TGS1	2	NNMT/TGS1
cluster_LE	GO:0015079	potassium ion transmembrane transporter activity	1/575	156/18352	0.993176556599487	0.999935463284584	0.864552980321559	SLC12A2	1	SLC12A2
cluster_LE	GO:0005216	ion channel activity	6/575	431/18352	0.99343103701798	0.999935463284584	0.864552980321559	APOL1/LRRC8A/CLIC4/GPM6A/PIEZO2/CLIC2	6	APOL1/LRRC8A/CLIC4/GPM6A/PIEZO2/CLIC2
cluster_LE	GO:0015267	channel activity	7/575	479/18352	0.993592790769176	0.999935463284584	0.864552980321559	APOL1/LRRC8A/CLIC4/GJA1/GPM6A/PIEZO2/CLIC2	7	APOL1/LRRC8A/CLIC4/GJA1/GPM6A/PIEZO2/CLIC2
cluster_LE	GO:0022803	passive transmembrane transporter activity	7/575	480/18352	0.993724839384129	0.999935463284584	0.864552980321559	APOL1/LRRC8A/CLIC4/GJA1/GPM6A/PIEZO2/CLIC2	7	APOL1/LRRC8A/CLIC4/GJA1/GPM6A/PIEZO2/CLIC2
cluster_LE	GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	1/575	160/18352	0.993999085873873	0.999935463284584	0.864552980321559	NNMT	1	NNMT
cluster_LE	GO:0016741	transferase activity, transferring one-carbon groups	2/575	229/18352	0.9944598049311	0.999935463284584	0.864552980321559	NNMT/TGS1	2	NNMT/TGS1
cluster_LE	GO:0022836	gated channel activity	3/575	337/18352	0.998542467473973	0.999935463284584	0.864552980321559	CLIC4/PIEZO2/CLIC2	3	CLIC4/PIEZO2/CLIC2
cluster_LE	GO:0140098	catalytic activity, acting on RNA	3/575	390/18352	0.99965739999258	0.999935463284584	0.864552980321559	CNOT6L/TGS1/DHX29	3	CNOT6L/TGS1/DHX29
cluster_LE	GO:0005261	cation channel activity	2/575	334/18352	0.999737637770719	0.999935463284584	0.864552980321559	GPM6A/PIEZO2	2	GPM6A/PIEZO2
cluster_LE	GO:0015077	monovalent inorganic cation transmembrane transporter activity	2/575	381/18352	0.999935463284584	0.999935463284584	0.864552980321559	SLC12A2/SLC38A1	2	SLC12A2/SLC38A1
cluster_PE1	GO:0003779	actin binding	46/309	437/18352	1.3482969330051e-23	7.05159295961667e-21	6.07443249817034e-21	TAGLN/MYH11/PALLD/TPM2/DSTN/FLNA/MYLK/MAP1B/LMOD1/MYH9/MICAL2/SORBS1/TMSB4X/TPM1/SYNPO2/PDLIM5/DMD/LDB3/CNN1/TPM4/S100A4/ACTN1/NEXN/MTSS1/VCL/EPS8/DIXDC1/PDLIM1/CLMN/UTRN/PLS3/PDLIM3/DST/COBLL1/KCNMA1/GSN/PAWR/ACTN4/MYO1C/DIAPH2/HIP1/CAP2/STK38L/YWHAH/DAAM2/ENAH	46	TAGLN/MYH11/PALLD/TPM2/DSTN/FLNA/MYLK/MAP1B/LMOD1/MYH9/MICAL2/SORBS1/TMSB4X/TPM1/SYNPO2/PDLIM5/DMD/LDB3/CNN1/TPM4/S100A4/ACTN1/NEXN/MTSS1/VCL/EPS8/DIXDC1/PDLIM1/CLMN/UTRN/PLS3/PDLIM3/DST/COBLL1/KCNMA1/GSN/PAWR/ACTN4/MYO1C/DIAPH2/HIP1/CAP2/STK38L/YWHAH/DAAM2/ENAH
cluster_PE1	GO:0008307	structural constituent of muscle	12/309	43/18352	4.0371259740332e-12	1.05570844220968e-09	9.09415745729583e-10	MYH11/MYL9/CSRP2/CSRP1/TPM2/MYL6/TPM1/DMD/SYNM/TPM4/NEXN/PDLIM3	12	MYH11/MYL9/CSRP2/CSRP1/TPM2/MYL6/TPM1/DMD/SYNM/TPM4/NEXN/PDLIM3
cluster_PE1	GO:0042805	actinin binding	9/309	36/18352	6.11510901974575e-09	1.06606733910901e-06	9.18339179105677e-07	CSRP2/CSRP1/PALLD/SYNPO2/PDLIM5/LDB3/PDLIM1/CACNA1C/PDLIM3	9	CSRP2/CSRP1/PALLD/SYNPO2/PDLIM5/LDB3/PDLIM1/CACNA1C/PDLIM3
cluster_PE1	GO:0019838	growth factor binding	15/309	136/18352	9.77501256577105e-09	1.27808289297456e-06	1.10097509951316e-06	IGFBP7/THBS1/IGFBP5/A2M/NTRK2/CRIM1/PTN/LTBP1/NTRK3/COL4A1/SORT1/PDGFA/OSMR/VASN/DUSP1	15	IGFBP7/THBS1/IGFBP5/A2M/NTRK2/CRIM1/PTN/LTBP1/NTRK3/COL4A1/SORT1/PDGFA/OSMR/VASN/DUSP1
cluster_PE1	GO:0051015	actin filament binding	17/309	206/18352	7.96843441433386e-08	8.3345174904945e-06	7.17957831524936e-06	TAGLN/MYH11/TPM2/DSTN/FLNA/MYH9/TPM1/TPM4/ACTN1/NEXN/CLMN/UTRN/PLS3/GSN/ACTN4/MYO1C/HIP1	17	TAGLN/MYH11/TPM2/DSTN/FLNA/MYH9/TPM1/TPM4/ACTN1/NEXN/CLMN/UTRN/PLS3/GSN/ACTN4/MYO1C/HIP1
cluster_PE1	GO:0051371	muscle alpha-actinin binding	6/309	15/18352	9.56158794320592e-08	8.3345174904945e-06	7.17957831524936e-06	PALLD/SYNPO2/PDLIM5/LDB3/PDLIM1/PDLIM3	6	PALLD/SYNPO2/PDLIM5/LDB3/PDLIM1/PDLIM3
cluster_PE1	GO:0051393	alpha-actinin binding	7/309	27/18352	2.38411121413659e-07	1.78127166427634e-05	1.53443548819618e-05	PALLD/SYNPO2/PDLIM5/LDB3/PDLIM1/CACNA1C/PDLIM3	7	PALLD/SYNPO2/PDLIM5/LDB3/PDLIM1/CACNA1C/PDLIM3
