Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	geneSymbol
cluster_PE2	GO:0005874	microtubule	13/410	431/19559	0.122004449428266	0.280396190791279	0.193765145906388	MAP1B/SLC8A1/TTLL7/TPPP3/SPRY2/CALM1/TUBA1C/REEP3/DST/TUBB6/CLIP1/CDK2AP2/APC	13	MAP1B/SLC8A1/TTLL7/TPPP3/SPRY2/CALM1/TUBA1C/REEP3/DST/TUBB6/CLIP1/CDK2AP2/APC
cluster_PE2	GO:0005942	phosphatidylinositol 3-kinase complex	2/410	29/19559	0.123007091725669	0.281051794188364	0.194218194457206	SOCS3/PIK3C2A	2	SOCS3/PIK3C2A
cluster_PE2	GO:0031984	organelle subcompartment	12/410	392/19559	0.123720001004038	0.281051794188364	0.194218194457206	ATP8B1/HLA-A/SORT1/ASAP2/REEP3/GOLGB1/APP/PCSK7/MYO1B/SORL1/SYT11/GOLIM4	12	ATP8B1/HLA-A/SORT1/ASAP2/REEP3/GOLGB1/APP/PCSK7/MYO1B/SORL1/SYT11/GOLIM4
cluster_PE2	GO:0001650	fibrillar center	5/410	129/19559	0.134995770747633	0.303650329131198	0.209834699118385	EZR/NFIB/KLF6/SPECC1/FBLIM1	5	EZR/NFIB/KLF6/SPECC1/FBLIM1
cluster_PE2	GO:0045211	postsynaptic membrane	9/410	280/19559	0.13580892518526	0.303650329131198	0.209834699118385	SLC8A1/UTRN/DMD/HIP1/CACNA1C/NTRK3/KCNMA1/P2RX1/NRP1	9	SLC8A1/UTRN/DMD/HIP1/CACNA1C/NTRK3/KCNMA1/P2RX1/NRP1
cluster_PE2	GO:0032589	neuron projection membrane	3/410	61/19559	0.13598589803331	0.303650329131198	0.209834699118385	ITGA8/MYO1C/RIPOR2	3	ITGA8/MYO1C/RIPOR2
cluster_PE2	GO:0048787	presynaptic active zone membrane	2/410	31/19559	0.137181307177874	0.304589004072906	0.210483361593169	P2RX1/SYT11	2	P2RX1/SYT11
cluster_PE2	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	5/410	130/19559	0.138148554341616	0.305013381214916	0.210776623418905	FN1/GOLGB1/CD59/VMP1/CTSZ	5	FN1/GOLGB1/CD59/VMP1/CTSZ
cluster_PE2	GO:0035580	specific granule lumen	3/410	62/19559	0.140815752147666	0.308578403164261	0.213240198249309	B2M/VCL/CTSZ	3	B2M/VCL/CTSZ
cluster_PE2	GO:0034399	nuclear periphery	5/410	131/19559	0.141333619769891	0.308578403164261	0.213240198249309	SORBS1/SPARC/CLIC4/LMNA/RUNX1T1	5	SORBS1/SPARC/CLIC4/LMNA/RUNX1T1
cluster_PE2	GO:0016323	basolateral plasma membrane	8/410	246/19559	0.146757713041274	0.318650725001219	0.220200581358817	MYO1C/EZR/MSN/TJP1/SLC38A1/CD44/DST/BMPR2	8	MYO1C/EZR/MSN/TJP1/SLC38A1/CD44/DST/BMPR2
cluster_PE2	GO:0098791	Golgi apparatus subcompartment	11/410	368/19559	0.152532336168808	0.329369275353526	0.227607534595446	ATP8B1/HLA-A/SORT1/ASAP2/GOLGB1/APP/PCSK7/MYO1B/SORL1/SYT11/GOLIM4	11	ATP8B1/HLA-A/SORT1/ASAP2/GOLGB1/APP/PCSK7/MYO1B/SORL1/SYT11/GOLIM4
cluster_PE2	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	4/410	99/19559	0.154406945357952	0.331595243309701	0.229145768779705	S100A6/CAV2/HIP1/KCNAB1	4	S100A6/CAV2/HIP1/KCNAB1
cluster_PE2	GO:0016328	lateral plasma membrane	3/410	65/19559	0.155638377844923	0.332423274418775	0.229717971876373	DMD/MYO1C/APC	3	DMD/MYO1C/APC
cluster_PE2	GO:0097386	glial cell projection	2/410	34/19559	0.159054900635618	0.337884194323232	0.233491689126541	EZR/APP	2	EZR/APP
cluster_PE2	GO:0005667	transcription regulator complex	12/410	413/19559	0.160588140576276	0.339307200249873	0.234475043965361	EPAS1/TBX2/ZFHX3/PDLIM1/CCND1/TLE1/FOS/HIPK2/WTIP/ETS1/BDP1/JUN	12	EPAS1/TBX2/ZFHX3/PDLIM1/CCND1/TLE1/FOS/HIPK2/WTIP/ETS1/BDP1/JUN
cluster_PE2	GO:0031904	endosome lumen	2/410	35/19559	0.166483593164716	0.349882631624242	0.241783096180673	B2M/APP	2	B2M/APP
cluster_PE2	GO:0044304	main axon	3/410	68/19559	0.170919760130397	0.357295030485351	0.246905364578065	MAP1B/APP/KCNAB1	3	MAP1B/APP/KCNAB1
cluster_PE2	GO:0008180	COP9 signalosome	2/410	36/19559	0.173970970726447	0.359845218397334	0.248667647908162	MYH9/HSPA1A	2	MYH9/HSPA1A
cluster_PE2	GO:0051233	spindle midzone	2/410	36/19559	0.173970970726447	0.359845218397334	0.248667647908162	GEM/APP	2	GEM/APP
cluster_PE2	GO:0034702	ion channel complex	9/410	299/19559	0.178008821376321	0.366269459690545	0.253107059328139	AKAP6/EPS8/CALM1/CACNA1C/CLIC4/KCNE4/KCNAB1/KCNMA1/RYR2	9	AKAP6/EPS8/CALM1/CACNA1C/CLIC4/KCNE4/KCNAB1/KCNMA1/RYR2
cluster_PE2	GO:0043296	apical junction complex	5/410	143/19559	0.181900320188512	0.37232721788586	0.257293216056119	SORBS1/CCND1/FRMD4A/TJP1/APC	5	SORBS1/CCND1/FRMD4A/TJP1/APC
cluster_PE2	GO:0001527	microfibril	1/410	10/19559	0.190954169970812	0.380929778030629	0.263237934195533	LTBP1	1	LTBP1
cluster_PE2	GO:0005797	Golgi medial cisterna	1/410	10/19559	0.190954169970812	0.380929778030629	0.263237934195533	HLA-A	1	HLA-A
cluster_PE2	GO:0044224	juxtaparanode region of axon	1/410	10/19559	0.190954169970812	0.380929778030629	0.263237934195533	KCNAB1	1	KCNAB1
cluster_PE2	GO:0097197	tetraspanin-enriched microdomain	1/410	10/19559	0.190954169970812	0.380929778030629	0.263237934195533	TSPAN14	1	TSPAN14
cluster_PE2	GO:1990124	messenger ribonucleoprotein complex	1/410	10/19559	0.190954169970812	0.380929778030629	0.263237934195533	CPEB4	1	CPEB4
cluster_PE2	GO:0032153	cell division site	3/410	72/19559	0.191918819465813	0.380929778030629	0.263237934195533	MYLK/MYH9/RHOB	3	MYLK/MYH9/RHOB
cluster_PE2	GO:0016363	nuclear matrix	4/410	109/19559	0.195617020097397	0.386319039689835	0.266962132690444	SORBS1/SPARC/CLIC4/RUNX1T1	4	SORBS1/SPARC/CLIC4/RUNX1T1
cluster_PE2	GO:0016235	aggresome	2/410	39/19559	0.196729218073236	0.386572913513909	0.26713756980471	HSPA1A/BAG3	2	HSPA1A/BAG3
cluster_PE2	GO:0044306	neuron projection terminus	5/410	149/19559	0.203635419362295	0.393132426758085	0.271670459631943	NTRK2/SLC8A1/DMD/SNCG/SYT11	5	NTRK2/SLC8A1/DMD/SNCG/SYT11
cluster_PE2	GO:0002116	semaphorin receptor complex	1/410	11/19559	0.207922239453239	0.393132426758085	0.271670459631943	NRP1	1	NRP1
cluster_PE2	GO:0005652	nuclear lamina	1/410	11/19559	0.207922239453239	0.393132426758085	0.271670459631943	LMNA	1	LMNA
cluster_PE2	GO:0017146	NMDA selective glutamate receptor complex	1/410	11/19559	0.207922239453239	0.393132426758085	0.271670459631943	EPS8	1	EPS8
cluster_PE2	GO:0035253	ciliary rootlet	1/410	11/19559	0.207922239453239	0.393132426758085	0.271670459631943	APP	1	APP
cluster_PE2	GO:0035631	CD40 receptor complex	1/410	11/19559	0.207922239453239	0.393132426758085	0.271670459631943	TRAF5	1	TRAF5
cluster_PE2	GO:1990907	beta-catenin-TCF complex	1/410	11/19559	0.207922239453239	0.393132426758085	0.271670459631943	TLE1	1	TLE1
cluster_PE2	GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane	3/410	75/19559	0.208070088462294	0.393132426758085	0.271670459631943	CD59/VMP1/CTSZ	3	CD59/VMP1/CTSZ
cluster_PE2	GO:0048786	presynaptic active zone	3/410	76/19559	0.213520591529393	0.401500442445222	0.277453098033661	APP/P2RX1/SYT11	3	APP/P2RX1/SYT11
cluster_PE2	GO:0099738	cell cortex region	2/410	42/19559	0.219822648298592	0.404781506245704	0.279720446260591	PHLDB2/CTSZ	2	PHLDB2/CTSZ
cluster_PE2	GO:0099699	integral component of synaptic membrane	5/410	154/19559	0.222375122342105	0.404781506245704	0.279720446260591	SLC8A1/NTRK3/P2RX1/SYT11/NRP1	5	SLC8A1/NTRK3/P2RX1/SYT11/NRP1
cluster_PE2	GO:0016607	nuclear speck	11/410	401/19559	0.222652214306678	0.404781506245704	0.279720446260591	EPAS1/MEF2C/NR3C1/PLCB1/JADE1/LMNA/HSPA1A/ZC3H13/SMC6/ZNF217/NSRP1	11	EPAS1/MEF2C/NR3C1/PLCB1/JADE1/LMNA/HSPA1A/ZC3H13/SMC6/ZNF217/NSRP1
cluster_PE2	GO:0005881	cytoplasmic microtubule	3/410	78/19559	0.224510944615988	0.404781506245704	0.279720446260591	REEP3/CLIP1/APC	3	REEP3/CLIP1/APC
cluster_PE2	GO:0005845	mRNA cap binding complex	1/410	12/19559	0.224535288451816	0.404781506245704	0.279720446260591	ZFP36	1	ZFP36
cluster_PE2	GO:0005890	sodium:potassium-exchanging ATPase complex	1/410	12/19559	0.224535288451816	0.404781506245704	0.279720446260591	ATP1A2	1	ATP1A2
cluster_PE2	GO:0030877	beta-catenin destruction complex	1/410	12/19559	0.224535288451816	0.404781506245704	0.279720446260591	APC	1	APC
cluster_PE2	GO:0044214	spanning component of plasma membrane	1/410	12/19559	0.224535288451816	0.404781506245704	0.279720446260591	BMPR2	1	BMPR2
cluster_PE2	GO:1990454	L-type voltage-gated calcium channel complex	1/410	12/19559	0.224535288451816	0.404781506245704	0.279720446260591	CACNA1C	1	CACNA1C
cluster_PE2	GO:0000307	cyclin-dependent protein kinase holoenzyme complex	2/410	43/19559	0.22757253302645	0.408383586663903	0.282209629996751	CCND1/CDKN1A	2	CCND1/CDKN1A
cluster_PE2	GO:0099055	integral component of postsynaptic membrane	4/410	117/19559	0.230729191953895	0.412166238354004	0.284823595809115	SLC8A1/NTRK3/P2RX1/NRP1	4	SLC8A1/NTRK3/P2RX1/NRP1
cluster_PE2	GO:0030665	clathrin-coated vesicle membrane	4/410	118/19559	0.235226139185501	0.417091128045553	0.288226894430836	CD9/HIP1/BTC/SYT11	4	CD9/HIP1/BTC/SYT11
