Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	geneSymbol
cluster_IM2	hsa05223	Non-small cell lung cancer	5/255	72/8098	0.0759062329054547	0.219021109529281	0.160634900775798	6789/5925/5295/4616/595	5	STK4/RB1/PIK3R1/GADD45B/CCND1
cluster_IM2	hsa04215	Apoptosis - multiple species	3/255	32/8098	0.0783631101007978	0.223779190700216	0.164124582197005	330/5366/10018	3	BIRC3/PMAIP1/BCL2L11
cluster_IM2	hsa04115	p53 signaling pathway	5/255	73/8098	0.0795034451871882	0.224718921600522	0.164813801515868	5366/4616/3479/595/27244	5	PMAIP1/GADD45B/IGF1/CCND1/SESN1
cluster_IM2	hsa04961	Endocrine and other factor-regulated calcium reabsorption	4/255	53/8098	0.084816646524394	0.2354928131823	0.172715610656218	483/6546/476/490	4	ATP1B3/SLC8A1/ATP1A1/ATP2B1
cluster_IM2	hsa05215	Prostate cancer	6/255	97/8098	0.085015456022491	0.2354928131823	0.172715610656218	4792/4790/5925/5295/3479/595	6	NFKBIA/NFKB1/RB1/PIK3R1/IGF1/CCND1
cluster_IM2	hsa05214	Glioma	5/255	75/8098	0.0869670715734773	0.238513651741121	0.174931160121742	5925/5295/4616/3479/595	5	RB1/PIK3R1/GADD45B/IGF1/CCND1
cluster_IM2	hsa01521	EGFR tyrosine kinase inhibitor resistance	5/255	79/8098	0.10294825205451	0.279575155089209	0.20504657013953	10018/5295/1977/7422/3479	5	BCL2L11/PIK3R1/EIF4E/VEGFA/IGF1
cluster_IM2	hsa04923	Regulation of lipolysis in adipocytes	4/255	57/8098	0.10407354789326	0.279887114237213	0.205275367842607	5743/5295/8660/51099	4	PTGS2/PIK3R1/IRS2/ABHD5
cluster_IM2	hsa00061	Fatty acid biosynthesis	2/255	18/8098	0.108636895169707	0.284101310287788	0.208366151949622	2180/2181	2	ACSL1/ACSL3
cluster_IM2	hsa04142	Lysosome	7/255	128/8098	0.108861069251138	0.284101310287788	0.208366151949622	1520/8905/1522/1075/1200/9516/1514	7	CTSS/AP1S2/CTSZ/CTSC/TPP1/LITAF/CTSL
cluster_IM2	hsa04660	T cell receptor signaling pathway	6/255	104/8098	0.109481995483519	0.284101310287788	0.208366151949622	3937/1326/4792/4790/5295/4773	6	LCP2/MAP3K8/NFKBIA/NFKB1/PIK3R1/NFATC2
cluster_IM2	hsa05216	Thyroid cancer	3/255	37/8098	0.109743105418026	0.284101310287788	0.208366151949622	7170/4616/595	3	TPM3/GADD45B/CCND1
cluster_IM2	hsa04921	Oxytocin signaling pathway	8/255	154/8098	0.112683659873215	0.289012720230375	0.211968288065599	5743/1827/4208/6093/5997/3709/4773/595	8	PTGS2/RCAN1/MEF2C/ROCK1/RGS2/ITPR2/NFATC2/CCND1
cluster_IM2	hsa04370	VEGF signaling pathway	4/255	59/8098	0.114387825608773	0.289549136082752	0.212361707254308	5743/5295/7422/4773	4	PTGS2/PIK3R1/VEGFA/NFATC2
cluster_IM2	hsa05171	Coronavirus disease - COVID-19	11/255	232/8098	0.114983411440804	0.289549136082752	0.212361707254308	3576/4792/728/4790/1675/6772/5295/64135/9636/6868/1839	11	CXCL8/NFKBIA/C5AR1/NFKB1/CFD/STAT1/PIK3R1/IFIH1/ISG15/ADAM17/HBEGF
cluster_IM2	hsa04730	Long-term depression	4/255	60/8098	0.119707895754111	0.296063277891864	0.217139322185559	10672/4067/3709/3479	4	GNA13/LYN/ITPR2/IGF1
cluster_IM2	hsa04978	Mineral absorption	4/255	60/8098	0.119707895754111	0.296063277891864	0.217139322185559	483/6546/476/490	4	ATP1B3/SLC8A1/ATP1A1/ATP2B1
cluster_IM2	hsa04213	Longevity regulating pathway - multiple species	4/255	62/8098	0.130660718157643	0.320292202917408	0.234909348900094	6648/5295/8660/3479	4	SOD2/PIK3R1/IRS2/IGF1
cluster_IM2	hsa05207	Chemical carcinogenesis - receptor activation	10/255	212/8098	0.131915008048272	0.320530326573432	0.235083994028776	4790/409/3838/604/5925/6197/5295/7422/9314/595	10	NFKB1/ARRB2/KPNA2/BCL6/RB1/RPS6KA3/PIK3R1/VEGFA/KLF4/CCND1
