"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","response to virus","12/91","425/18986",0.0282352941176471,5.89093729799612,7.07682446830002,8.66575861367238e-07,0.00160229876766802,0.00145767181733142,"IFIH1/RSAD2/MX1/RIGI/IFI44L/MX2/GBP1/SAMHD1/ZC3HAV1/JAK2/IRF1/EXT1",12
"GO:0051607","defense response to virus","10/91","320/18986",0.03125,6.51991758241758,6.91089827691344,3.09006767695431e-06,0.00285676756734426,0.00259890955145947,"IFIH1/RSAD2/MX1/RIGI/IFI44L/MX2/GBP1/SAMHD1/ZC3HAV1/IRF1",10
"GO:0032728","positive regulation of interferon-beta production","4/91","41/18986",0.0975609756097561,20.3548646475476,8.60968596234117,4.36648688656562e-05,0.0269121141775328,0.0244829685780065,"IFIH1/RIGI/ZC3HAV1/IRF1",4
"GO:0071356","cellular response to tumor necrosis factor","7/91","221/18986",0.0316742081447964,6.60842325095719,5.81989544187373,9.30626852702909e-05,0.0375071218165511,0.0341216479251081,"GBP1/JAK2/BIRC3/EXT1/FAS/RORA/ZFP36",7
"GO:0048525","negative regulation of viral process","5/91","99/18986",0.0505050505050505,10.5372405372405,6.60254533613627,0.000113561627328926,0.0375071218165511,0.0341216479251081,"IFIH1/RSAD2/MX1/ZC3HAV1/ZFP36",5
"GO:0045071","negative regulation of viral genome replication","4/91","55/18986",0.0727272727272727,15.1736263736264,7.3051324749482,0.000139717555658204,0.0375071218165511,0.0341216479251081,"IFIH1/RSAD2/MX1/ZC3HAV1",4
"GO:0034612","response to tumor necrosis factor","7/91","243/18986",0.0288065843621399,6.01012978790757,5.45487884817662,0.000167565437649268,0.0375071218165511,0.0341216479251081,"GBP1/JAK2/BIRC3/EXT1/FAS/RORA/ZFP36",7
"GO:0032608","interferon-beta production","4/91","60/18986",0.0666666666666667,13.9091575091575,6.95018965870187,0.000196152055131843,0.0375071218165511,0.0341216479251081,"IFIH1/RIGI/ZC3HAV1/IRF1",4
"GO:0032648","regulation of interferon-beta production","4/91","60/18986",0.0666666666666667,13.9091575091575,6.95018965870187,0.000196152055131843,0.0375071218165511,0.0341216479251081,"IFIH1/RIGI/ZC3HAV1/IRF1",4
"GO:0140888","interferon-mediated signaling pathway","5/91","112/18986",0.0446428571428571,9.31416797488226,6.12418609738542,0.000202850848115474,0.0375071218165511,0.0341216479251081,"IFIH1/SAMHD1/JAK2/IRF1/RBM47",5
"GO:0032727","positive regulation of interferon-alpha production","3/91","25/18986",0.12,25.0364835164835,8.34570185334062,0.000226965736537285,0.0381508769870399,0.0347072963623522,"IFIH1/RIGI/ZC3HAV1",3
"GO:0039529","RIG-I signaling pathway","3/91","28/18986",0.107142857142857,22.3540031397174,7.84719793462224,0.000319932810981873,0.0446266295504034,0.0405985335012067,"RIGI/ZC3HAV1/BIRC3",3
"GO:0048255","mRNA stabilization","4/91","71/18986",0.0563380281690141,11.7542176133725,6.30024401662072,0.000375469735478926,0.0446266295504034,0.0405985335012067,"TENT5A/IGF2BP2/RBM47/ZFP36",4
"GO:0002221","pattern recognition receptor signaling pathway","7/91","278/18986",0.0251798561151079,5.25345877144438,4.95796542323469,0.000379672532216956,0.0446266295504034,0.0405985335012067,"IFIH1/RSAD2/RIGI/ZC3HAV1/IRF1/BIRC3/PRKCE",7
"GO:0060759","regulation of response to cytokine stimulus","6/91","199/18986",0.0301507537688442,6.29057374786018,5.20658714651248,0.00039129417117324,0.0446266295504034,0.0405985335012067,"IFIH1/RIGI/SAMHD1/EXT1/RBM47/SLIT3",6
"GO:0045088","regulation of innate immune response","9/91","470/18986",0.0191489361702128,3.99518353986439,4.56300907039584,0.000420504266478601,0.0446266295504034,0.0405985335012067,"IFIH1/RSAD2/RIGI/SAMHD1/ZC3HAV1/IRF1/BIRC3/PRKCE/RBM47",9
"GO:0032607","interferon-alpha production","3/91","31/18986",0.0967741935483871,20.1907125132932,7.42100289207449,0.000434439876639947,0.0446266295504034,0.0405985335012067,"IFIH1/RIGI/ZC3HAV1",3
"GO:0032647","regulation of interferon-alpha production","3/91","31/18986",0.0967741935483871,20.1907125132932,7.42100289207449,0.000434439876639947,0.0446266295504034,0.0405985335012067,"IFIH1/RIGI/ZC3HAV1",3
"GO:0032481","positive regulation of type I interferon production","4/91","75/18986",0.0533333333333333,11.127326007326,6.09846763980114,0.000462890005340857,0.0450465063092234,0.0409805112761601,"IFIH1/RIGI/ZC3HAV1/IRF1",4
"GO:0045089","positive regulation of innate immune response","8/91","387/18986",0.020671834625323,4.3129170571031,4.56955382214991,0.000539845950150405,0.0475479091377158,0.0432561320782613,"IFIH1/RSAD2/RIGI/ZC3HAV1/IRF1/BIRC3/PRKCE/RBM47",8
"GO:0002758","innate immune response-activating signaling pathway","7/91","297/18986",0.0235690235690236,4.91737891737892,4.72207981115004,0.000563260564205963,0.0475479091377158,0.0432561320782613,"IFIH1/RSAD2/RIGI/ZC3HAV1/IRF1/BIRC3/PRKCE",7
"GO:0043489","RNA stabilization","4/91","80/18986",0.05,10.4318681318681,5.86672100618608,0.000591455873535675,0.0475479091377158,0.0432561320782613,"TENT5A/IGF2BP2/RBM47/ZFP36",4
"GO:1902373","negative regulation of mRNA catabolic process","4/91","80/18986",0.05,10.4318681318681,5.86672100618608,0.000591455873535675,0.0475479091377158,0.0432561320782613,"TENT5A/IGF2BP2/RBM47/ZFP36",4
