"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070661","leukocyte proliferation","12/88","341/18986",0.0351906158357771,7.59237536656892,8.38255937017084,5.6156092258674e-08,0.000125059617460067,9.92485041076986e-05,"MEF2C/RIPOR2/CSF2RA/PLCL2/JAK2/CD74/VAV3/TMEM131L/LYN/INPP5D/CCND3/ST6GAL1",12
"GO:0032943","mononuclear cell proliferation","11/88","305/18986",0.0360655737704918,7.78114754098361,8.1468884077904,1.63865172333796e-07,0.000182463869393681,0.000144805065446549,"MEF2C/RIPOR2/PLCL2/JAK2/CD74/VAV3/TMEM131L/LYN/INPP5D/CCND3/ST6GAL1",11
"GO:0070663","regulation of leukocyte proliferation","10/88","270/18986",0.037037037037037,7.99074074074074,7.89472986791276,4.8758117268872e-07,0.000337717935095487,0.000268016171401376,"MEF2C/RIPOR2/CSF2RA/JAK2/CD74/VAV3/TMEM131L/LYN/INPP5D/ST6GAL1",10
"GO:0050851","antigen receptor-mediated signaling pathway","9/88","212/18986",0.0424528301886792,9.15919811320755,8.15221672033439,6.06588118716635e-07,0.000337717935095487,0.000268016171401376,"PRKCB/MEF2C/PDE4B/PLCL2/VAV3/NFKB1/PTPRJ/LYN/INPP5D",9
"GO:0042113","B cell activation","10/88","284/18986",0.0352112676056338,7.59683098591549,7.64344624419694,7.73385510611643e-07,0.000344465906426426,0.000273371425750937,"PRKCB/MEF2C/PLCL2/CD74/VAV3/SH3KBP1/HDAC9/PTPRJ/LYN/INPP5D",10
"GO:0046651","lymphocyte proliferation","10/88","297/18986",0.0336700336700337,7.26430976430976,7.42501152629815,1.16047798986183e-06,0.00043073074723705,0.000341832025434739,"MEF2C/RIPOR2/PLCL2/JAK2/CD74/VAV3/TMEM131L/LYN/INPP5D/CCND3",10
"GO:0050853","B cell receptor signaling pathway","6/88","79/18986",0.0759493670886076,16.3860759493671,9.35123174446076,1.76817337495053e-06,0.000519617660280739,0.000412373526628393,"PRKCB/MEF2C/PLCL2/VAV3/NFKB1/LYN",6
"GO:0032944","regulation of mononuclear cell proliferation","9/88","245/18986",0.036734693877551,7.92551020408163,7.44521339161431,2.0168676823252e-06,0.000519617660280739,0.000412373526628393,"MEF2C/RIPOR2/JAK2/CD74/VAV3/TMEM131L/LYN/INPP5D/ST6GAL1",9
"GO:0002262","myeloid cell homeostasis","8/88","183/18986",0.0437158469945355,9.43169398907104,7.82105828970794,2.12906689973511e-06,0.000519617660280739,0.000412373526628393,"IKZF1/PDE4B/BCL2L11/SH2B3/JAK2/LYN/RHEX/INPP5D",8
"GO:0071375","cellular response to peptide hormone stimulus","10/88","321/18986",0.0311526479750779,6.72118380062305,7.05444958061097,2.33326295590812e-06,0.000519617660280739,0.000412373526628393,"PRKCB/KAT2B/GAB1/JAK2/NFKB1/PIP4K2A/PTPN1/HDAC9/PTPRJ/LYN",10
"GO:0048872","homeostasis of number of cells","10/88","339/18986",0.0294985250737463,6.36430678466077,6.80060711303598,3.79152347872092e-06,0.000767611162464682,0.000609183533088271,"IKZF1/MEF2C/PDE4B/BCL2L11/SH2B3/JAK2/CD74/LYN/RHEX/INPP5D",10
"GO:0042100","B cell proliferation","6/88","92/18986",0.0652173913043478,14.070652173913,8.57566742799526,4.32294672130923e-06,0.000802266862362971,0.000636686626761245,"MEF2C/PLCL2/CD74/VAV3/LYN/INPP5D",6
"GO:0022408","negative regulation of cell-cell adhesion","8/88","207/18986",0.0386473429951691,8.33816425120773,7.24394400582474,5.31062820459707e-06,0.000909751462433667,0.000721987429596638,"RIPOR2/PAG1/SH2B3/JAK2/CD74/TMEM131L/MBP/IL4R",8
"GO:0050866","negative regulation of cell activation","8/88","219/18986",0.0365296803652968,7.88127853881278,6.98928069420895,8.02938378113075e-06,0.00127724554861273,0.00101363423823448,"RIPOR2/PAG1/SH2B3/CD74/TMEM131L/LYN/INPP5D/IL4R",8
"GO:0070665","positive regulation of leukocyte proliferation","7/88","166/18986",0.0421686746987952,9.09789156626506,7.15080452133645,1.20545552512944e-05,0.00151206418328562,0.00119998854429445,"MEF2C/CSF2RA/JAK2/CD74/VAV3/LYN/ST6GAL1",7
"GO:0050867","positive regulation of cell activation","10/88","391/18986",0.0255754475703325,5.51790281329923,6.1597897134002,1.32266108907325e-05,0.00151206418328562,0.00119998854429445,"MEF2C/HLA-DRA/JAK2/CD74/VAV3/SH3KBP1/PTPRJ/LYN/INPP5D/IL4R",10
"GO:0051250","negative regulation of lymphocyte activation","7/88","169/18986",0.0414201183431953,8.93639053254438,7.07179894078138,1.35438238700576e-05,0.00151206418328562,0.00119998854429445,"RIPOR2/PAG1/CD74/TMEM131L/LYN/INPP5D/IL4R",7
"GO:0001776","leukocyte homeostasis","6/88","113/18986",0.0530973451327434,11.4557522123894,7.60698830833393,1.41727938590198e-05,0.00151206418328562,0.00119998854429445,"MEF2C/PDE4B/BCL2L11/SH2B3/CD74/LYN",6
"GO:0030888","regulation of B cell proliferation","5/88","67/18986",0.0746268656716418,16.1007462686567,8.44939158006867,1.4689844680292e-05,0.00151206418328562,0.00119998854429445,"MEF2C/CD74/VAV3/LYN/INPP5D",5
"GO:0007162","negative regulation of cell adhesion","9/88","314/18986",0.0286624203821656,6.18391719745223,6.32071451412243,1.5003841260579e-05,0.00151206418328562,0.00119998854429445,"RIPOR2/PAG1/SH2B3/JAK2/CD74/TMEM131L/MBP/PTPN1/IL4R",9
"GO:0060397","growth hormone receptor signaling pathway via JAK-STAT","3/88","11/18986",0.272727272727273,58.8409090909091,13.0942091942368,1.54551263654307e-05,0.00151206418328562,0.00119998854429445,"JAK2/PTPN1/LYN",3
"GO:2000271","positive regulation of fibroblast apoptotic process","3/88","11/18986",0.272727272727273,58.8409090909091,13.0942091942368,1.54551263654307e-05,0.00151206418328562,0.00119998854429445,"BCL2L11/STK17A/STK17B",3
"GO:0050670","regulation of lymphocyte proliferation","8/88","240/18986",0.0333333333333333,7.19166666666667,6.58715066087608,1.56162892750648e-05,0.00151206418328562,0.00119998854429445,"MEF2C/RIPOR2/JAK2/CD74/VAV3/TMEM131L/LYN/INPP5D",8
"GO:0001782","B cell homeostasis","4/88","36/18986",0.111111111111111,23.9722222222222,9.41430721642559,2.26604602766492e-05,0.00210270187650407,0.00166872424581114,"MEF2C/BCL2L11/CD74/LYN",4
"GO:0002429","immune response-activating cell surface receptor signaling pathway","9/88","336/18986",0.0267857142857143,5.77901785714286,6.03125357904088,2.56025514685248e-05,0.00219295700463095,0.00174035157553252,"PRKCB/MEF2C/PDE4B/PLCL2/VAV3/NFKB1/PTPRJ/LYN/INPP5D",9
"GO:0051251","positive regulation of lymphocyte activation","9/88","336/18986",0.0267857142857143,5.77901785714286,6.03125357904088,2.56025514685248e-05,0.00219295700463095,0.00174035157553252,"MEF2C/HLA-DRA/JAK2/CD74/VAV3/SH3KBP1/LYN/INPP5D/IL4R",9
