"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002040","sprouting angiogenesis","10/96","196/18986",0.0510204081632653,10.0903486394558,9.11948102086397,5.70587831543552e-08,9.88828712064976e-05,8.93720729828217e-05,"VEGFC/ADAMTS9/PIK3R3/FLT1/NRP1/LEF1/CEMIP2/EFNB2/CDH13/HDAC9",10
"GO:0007264","small GTPase-mediated signal transduction","13/96","491/18986",0.0264765784114053,5.23629497623897,6.77992218304467,1.12798696701028e-06,0.00097740070691441,0.000883391898374369,"ARHGAP31/DLC1/RASGRF2/PLD1/PREX2/RASGRP3/RAPGEF4/NRP1/PLEKHG1/SPRY1/RALGAPA2/CDH13/RAPGEF5",13
"GO:0072001","renal system development","10/96","332/18986",0.0301204819277108,5.95695281124498,6.49565242878786,6.9595051094557e-06,0.00402027411822891,0.00363359424662108,"PECAM1/COL4A1/PDGFD/ADAMTS1/NRP1/ADAMTS6/BMP6/EFNB2/SPRY1/WWTR1",10
"GO:0043542","endothelial cell migration","9/96","287/18986",0.0313588850174216,6.20187282229965,6.33018534311877,1.49362693468468e-05,0.0064711386945214,0.0058487286284495,"VEGFC/ADAMTS9/PIK3R3/PLPP3/NRP1/SASH1/EFNB2/CDH13/HDAC9",9
"GO:0042327","positive regulation of phosphorylation","11/96","479/18986",0.022964509394572,4.54171016005567,5.59677309231143,3.00470733506191e-05,0.00913862532596362,0.00825964982235483,"PECAM1/VEGFC/ITGA6/PIK3R3/FLT1/PLPP3/NRP1/GRB10/INSR/SASH1/BMP6",11
"GO:0007265","Ras protein signal transduction","6/96","121/18986",0.0495867768595041,9.80681818181818,6.92800590288896,3.43531077692154e-05,0.00913862532596362,0.00825964982235483,"RASGRF2/PLD1/RASGRP3/RAPGEF4/SPRY1/RAPGEF5",6
"GO:0001822","kidney development","9/96","322/18986",0.0279503105590062,5.52775621118013,5.8416232787394,3.69130855636153e-05,0.00913862532596362,0.00825964982235483,"PECAM1/PDGFD/ADAMTS1/NRP1/ADAMTS6/BMP6/EFNB2/SPRY1/WWTR1",9
"GO:0006935","chemotaxis","10/96","472/18986",0.0211864406779661,4.19006002824859,5.00316312819963,0.000136939555836887,0.0241539126942447,0.0218307298502968,"VEGFC/ITGA9/PLD1/FLT1/PDGFD/NRP1/LEF1/MTUS1/EFNB2/CDH13",10
"GO:0051056","regulation of small GTPase mediated signal transduction","8/96","300/18986",0.0266666666666667,5.27388888888889,5.31925267597561,0.000140835635195347,0.0241539126942447,0.0218307298502968,"ARHGAP31/DLC1/RASGRF2/PREX2/NRP1/PLEKHG1/SPRY1/RALGAPA2",8
"GO:0042330","taxis","10/96","474/18986",0.0210970464135021,4.17238045007032,4.98623454472241,0.00014173314611156,0.0241539126942447,0.0218307298502968,"VEGFC/ITGA9/PLD1/FLT1/PDGFD/NRP1/LEF1/MTUS1/EFNB2/CDH13",10
