"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","extracellular matrix organization","16/87","339/18986",0.0471976401179941,10.2999355779337,11.7225155732416,2.82120093800854e-12,1.90292775854416e-09,1.44793274812026e-09,"FAP/CRISPLD2/POSTN/COL5A2/LAMB1/LAMA2/COL8A1/ADAMTS12/COL3A1/CCN1/ANTXR1/PLOD2/SH3PXD2B/HMCN1/COL12A1/PRICKLE1",16
"GO:0043062","extracellular structure organization","16/87","340/18986",0.0470588235294118,10.2696416497634,11.7018648628144,2.94996627324232e-12,1.90292775854416e-09,1.44793274812026e-09,"FAP/CRISPLD2/POSTN/COL5A2/LAMB1/LAMA2/COL8A1/ADAMTS12/COL3A1/CCN1/ANTXR1/PLOD2/SH3PXD2B/HMCN1/COL12A1/PRICKLE1",16
"GO:0045229","external encapsulating structure organization","16/87","341/18986",0.0469208211143695,10.239525398591,11.6812998968213,3.08416168321581e-12,1.90292775854416e-09,1.44793274812026e-09,"FAP/CRISPLD2/POSTN/COL5A2/LAMB1/LAMA2/COL8A1/ADAMTS12/COL3A1/CCN1/ANTXR1/PLOD2/SH3PXD2B/HMCN1/COL12A1/PRICKLE1",16
"GO:0031589","cell-substrate adhesion","12/87","361/18986",0.0332409972299169,7.25417900468049,8.13994146911222,9.1723458131533e-08,4.24450302503669e-05,3.22963123631556e-05,"SERPINE1/CDH11/POSTN/LAMB1/COL8A1/ADAMTS12/ITGBL1/COL3A1/CCN1/ANTXR1/FN1/THBS1",12
"GO:0003012","muscle system process","13/87","465/18986",0.0279569892473118,6.10105054999382,7.55612967354133,1.8992973081322e-07,7.03119863470542e-05,5.35002062795977e-05,"CACNA1C/PRKG1/CACNB2/KCND2/LMCD1/PRKD1/SGCD/FBXO32/CAMK2D/DMD/CALD1/PDLIM5/FOXO1",13
"GO:0051216","cartilage development","9/87","209/18986",0.0430622009569378,9.39745916515427,8.28234763330875,4.87823619639324e-07,0.000150493586658731,0.000114510175978494,"PRRX1/ZEB1/GLI3/ADAMTS12/COL3A1/CCN1/ERRFI1/RUNX2/NFATC2",9
"GO:0042692","muscle cell differentiation","12/87","432/18986",0.0277777777777778,6.06194125159642,7.22080658590679,6.2765775991234e-07,0.000154645637437063,0.000117669460542404,"ADAM12/PRKG1/LAMB1/LAMA2/ZEB1/PRKD1/SGCD/RCAN1/DMD/PRICKLE1/PDLIM5/NFATC2",12
"GO:0060348","bone development","9/87","217/18986",0.0414746543778802,9.05100905768314,8.09291780505054,6.68376606967315e-07,0.000154645637437063,0.000117669460542404,"FBN1/XYLT1/GLI3/ADAMTS12/COL3A1/RUNX2/SH3PXD2B/BNC2/PDGFC",9
"GO:0071711","basement membrane organization","5/87","38/18986",0.131578947368421,28.7144585601936,11.6027790813924,8.01436819558363e-07,0.000155490806369152,0.000118312547369516,"LAMB1/LAMA2/COL3A1/HMCN1/PRICKLE1",5
"GO:0061448","connective tissue development","10/87","290/18986",0.0344827586206897,7.52516845025763,7.59734575287981,8.40036771308223e-07,0.000155490806369152,0.000118312547369516,"PRRX1/ZEB1/GLI3/ADAMTS12/COL3A1/CCN1/ERRFI1/RUNX2/SH3PXD2B/NFATC2",10
"GO:0007409","axonogenesis","12/87","459/18986",0.0261437908496732,5.70535647209075,6.92375731802891,1.1866578467839e-06,0.000199682152217909,0.000151937626698264,"CDH11/PRKG1/LAMA2/DCLK1/GLI3/ROBO2/UNC5C/SEMA6A/PALLD/FN1/ROBO1/PRICKLE1",12
"GO:0090257","regulation of muscle system process","9/87","254/18986",0.0354330708661417,7.73255498235134,7.32909257064271,2.46316493909066e-06,0.000379943191854734,0.000289097779693272,"CACNA1C/PRKG1/CACNB2/LMCD1/PRKD1/FBXO32/CAMK2D/DMD/FOXO1",9
"GO:0035987","endodermal cell differentiation","5/87","52/18986",0.0961538461538462,20.9836427939876,9.79040500980821,3.94583476315574e-06,0.000561826165123175,0.000427492057741083,"COL5A2/LAMB1/COL8A1/FN1/COL12A1",5
"GO:0055001","muscle cell development","8/87","205/18986",0.0390243902439024,8.51628819736473,7.34119081630428,4.53621574066915e-06,0.000599752523998471,0.00045635012488837,"PRKG1/PRKD1/SGCD/RCAN1/DMD/PRICKLE1/PDLIM5/NFATC2",8
"GO:0035107","appendage morphogenesis","7/87","151/18986",0.0463576158940397,10.1166171880947,7.63106046690318,6.00915275997964e-06,0.000695183859920145,0.000528963578477155,"PRRX1/CACNA1C/GLI3/COL3A1/ERRFI1/RUNX2/PRICKLE1",7
"GO:0035108","limb morphogenesis","7/87","151/18986",0.0463576158940397,10.1166171880947,7.63106046690318,6.00915275997964e-06,0.000695183859920145,0.000528963578477155,"PRRX1/CACNA1C/GLI3/COL3A1/ERRFI1/RUNX2/PRICKLE1",7
"GO:0001503","ossification","11/87","456/18986",0.0241228070175439,5.26431740270216,6.2537389561065,7.36982736339842e-06,0.000802444144097087,0.000610577647815918,"CDH11/ROR2/COL5A2/XYLT1/GLI3/VCAN/ADAMTS12/PRKD1/CCN1/RUNX2/PRICKLE1",11
"GO:0001706","endoderm formation","5/87","61/18986",0.0819672131147541,17.887695496514,8.96319567378448,8.74461506409069e-06,0.000899237915757326,0.000684227775190254,"COL5A2/LAMB1/COL8A1/FN1/COL12A1",5
"GO:0090287","regulation of cellular response to growth factor stimulus","10/87","381/18986",0.026246719160105,5.72781850544544,6.32490433899455,9.53371715320216e-06,0.000928784760556694,0.000706709892021301,"DCN/FBN1/ZEB1/ADAMTS12/CCN1/RUNX2/SEMA6A/ROBO1/DMD/THBS1",10
"GO:0007229","integrin-mediated signaling pathway","6/87","111/18986",0.0540540540540541,11.7962100031066,7.73989105068255,1.19796731876773e-05,0.00108611184033105,0.000826419655016034,"LAMB1/LAMA2/ITGBL1/COL3A1/PRKD1/FN1",6
"GO:0019722","calcium-mediated signaling","8/87","235/18986",0.0340425531914894,7.42910247004158,6.72848946206489,1.23221764705306e-05,0.00108611184033105,0.000826419655016034,"CACNA1C/LMCD1/PRKD1/SGCD/RCAN1/CAMK2D/DMD/NFATC2",8
"GO:1902547","regulation of cellular response to vascular endothelial growth factor stimulus","4/87","32/18986",0.125,27.2787356321839,10.0942610380504,1.34087077473962e-05,0.00112815991092865,0.000858413921818952,"DCN/ADAMTS12/SEMA6A/ROBO1",4
"GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction","9/87","317/18986",0.028391167192429,6.19580115305123,6.32946699761927,1.47375881144606e-05,0.00114061659265762,0.000867892178325171,"ROR2/DCN/COL6A3/PTPN13/PRKD1/ERRFI1/FN1/THBS1/PDGFC",9
"GO:0007160","cell-matrix adhesion","8/87","241/18986",0.033195020746888,7.24414556207373,6.61887732842538,1.4789194070115e-05,0.00114061659265762,0.000867892178325171,"SERPINE1/CDH11/POSTN/ADAMTS12/ITGBL1/COL3A1/FN1/THBS1",8
"GO:0060840","artery development","6/87","116/18986",0.0517241379310345,11.2877526753864,7.54065504570544,1.54149033272428e-05,0.00114131944234906,0.000868426974814776,"PRRX1/GLI3/COL3A1/ROBO2/ROBO1/PRICKLE1",6
"GO:0055002","striated muscle cell development","7/87","177/18986",0.0395480225988701,8.63056042600169,6.9199941983544,1.69544072316114e-05,0.00120702337637357,0.000918420926149639,"PRKG1/PRKD1/SGCD/RCAN1/PRICKLE1/PDLIM5/NFATC2",7
"GO:0030199","collagen fibril organization","5/87","72/18986",0.0694444444444444,15.1548531289911,8.16442187935666,1.97690746989727e-05,0.00134622224779016,0.0010243369828788,"COL5A2/ADAMTS12/COL3A1/PLOD2/COL12A1",5
"GO:0040013","negative regulation of locomotion","10/87","416/18986",0.0240384615384615,5.24591069849691,5.94096622903489,2.03642479406398e-05,0.00134622224779016,0.0010243369828788,"SERPINE1/CDH11/PRKG1/DCN/NAV3/COL3A1/DPYSL3/ROBO2/ROBO1/THBS1",10
"GO:0048736","appendage development","7/87","189/18986",0.037037037037037,8.0825883354619,6.63932832557649,2.5873295831971e-05,0.00159638235283261,0.00121468315169043,"PRRX1/CACNA1C/GLI3/COL3A1/ERRFI1/RUNX2/PRICKLE1",7
"GO:0060173","limb development","7/87","189/18986",0.037037037037037,8.0825883354619,6.63932832557649,2.5873295831971e-05,0.00159638235283261,0.00121468315169043,"PRRX1/CACNA1C/GLI3/COL3A1/ERRFI1/RUNX2/PRICKLE1",7
"GO:0035924","cellular response to vascular endothelial growth factor stimulus","5/87","78/18986",0.0641025641025641,13.9890951959917,7.79917955275774,2.91926566771224e-05,0.00174308411320495,0.00132630813697758,"DCN/ADAMTS12/PRKD1/SEMA6A/ROBO1",5
"GO:0006936","muscle contraction","9/87","358/18986",0.0251396648044693,5.48622616066269,5.81413453445537,3.83241369671896e-05,0.00221681179769587,0.00168676629151644,"CACNA1C/PRKG1/CACNB2/KCND2/PRKD1/SGCD/CAMK2D/DMD/CALD1",9
"GO:0010975","regulation of neuron projection development","10/87","452/18986",0.0221238938053097,4.82809480215644,5.58872624717631,4.12120647439558e-05,0.00231162217700188,0.00175890726084251,"PRRX1/TENM3/ROR2/DPYSL3/PRKD1/ROBO2/FN1/ROBO1/DMD/PDLIM5",10
"GO:0007492","endoderm development","5/87","87/18986",0.0574712643678161,12.541947417096,7.32090581754037,4.94704691693516e-05,0.00269323054213146,0.00204927206651989,"COL5A2/LAMB1/COL8A1/FN1/COL12A1",5
"GO:0008038","neuron recognition","4/87","46/18986",0.0869565217391304,18.9765117441279,8.28208847938592,5.79453734017629e-05,0.00306448246190466,0.00233175668004688,"NTM/ROBO2/PALLD/ROBO1",4
"GO:0050919","negative chemotaxis","4/87","47/18986",0.0851063829787234,18.5727561751039,8.18381502482031,6.31150690116751e-05,0.0032292450449007,0.00245712409797102,"ROBO2/UNC5C/SEMA6A/ROBO1",4
"GO:0030336","negative regulation of cell migration","9/87","383/18986",0.0234986945169713,5.12811740343927,5.53739429070584,6.45500090012566e-05,0.0032292450449007,0.00245712409797102,"SERPINE1/CDH11/PRKG1/DCN/NAV3/COL3A1/DPYSL3/ROBO1/THBS1",9
"GO:0051917","regulation of fibrinolysis","3/87","18/18986",0.166666666666667,36.3716475095785,10.1865303876334,7.21550448757867e-05,0.00351471021223898,0.00267433379622722,"FAP/SERPINE1/THBS1",3
"GO:0021795","cerebral cortex cell migration","4/87","49/18986",0.0816326530612245,17.8146844944874,7.99607184700209,7.44518460561418e-05,0.00353359915512611,0.00268870634340399,"LAMB1/GLI3/COL3A1/ROBO1",4
"GO:0030195","negative regulation of blood coagulation","4/87","50/18986",0.08,17.4583908045977,7.9063086529237,8.06441804346999e-05,0.00373180944961574,0.00283952403741127,"FAP/SERPINE1/PRKG1/THBS1",4
