"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019883","antigen processing and presentation of endogenous antigen","6/60","32/18986",0.1875,59.33125,18.5941933338486,6.55014614840999e-10,1.13841540059366e-06,7.70159289239364e-07,"B2M/CD74/HLA-A/HLA-B/HLA-DRA/HLA-E",6
"GO:0002483","antigen processing and presentation of endogenous peptide antigen","5/60","25/18986",0.2,63.2866666666667,17.5463174769926,1.3455537329929e-08,1.16928619397083e-05,7.91043957764774e-06,"B2M/HLA-A/HLA-B/HLA-DRA/HLA-E",5
"GO:0006959","humoral immune response","10/60","310/18986",0.032258064516129,10.2075268817204,9.20308467375305,4.2677802142634e-08,2.47246733746326e-05,1.67267035064288e-05,"CLU/C3/WFDC2/GAPDH/SLPI/CFB/B2M/LGALS3/HLA-A/HLA-E",10
"GO:0048002","antigen processing and presentation of peptide antigen","6/60","72/18986",0.0833333333333333,26.3694444444444,12.1433082879694,1.02427180450515e-07,4.45046099057488e-05,3.01082001482172e-05,"B2M/CD74/HLA-A/HLA-B/HLA-DRA/HLA-E",6
"GO:0001916","positive regulation of T cell mediated cytotoxicity","5/60","41/18986",0.121951219512195,38.5894308943089,13.5663145402707,1.82593724158744e-07,5.28913154313161e-05,3.57819631377749e-05,"B2M/HLA-A/HLA-B/HLA-DRA/HLA-E",5
"GO:0002478","antigen processing and presentation of exogenous peptide antigen","5/60","41/18986",0.121951219512195,38.5894308943089,13.5663145402707,1.82593724158744e-07,5.28913154313161e-05,3.57819631377749e-05,"B2M/CD74/HLA-A/HLA-DRA/HLA-E",5
"GO:0002428","antigen processing and presentation of peptide antigen via MHC class Ib","4/60","18/18986",0.222222222222222,70.3185185185185,16.5663282551798,2.66728351841434e-07,6.62248393572018e-05,4.48023412040424e-05,"B2M/HLA-A/HLA-B/HLA-E",4
"GO:0019884","antigen processing and presentation of exogenous antigen","5/60","50/18986",0.1,31.6433333333333,12.2159822540532,5.05143652858773e-07,0.00010789112827576,7.29903641717787e-05,"B2M/CD74/HLA-A/HLA-DRA/HLA-E",5
"GO:0001914","regulation of T cell mediated cytotoxicity","5/60","51/18986",0.0980392156862745,31.0228758169935,12.0880495421987,5.58699743660436e-07,0.00010789112827576,7.29903641717787e-05,"B2M/HLA-A/HLA-B/HLA-DRA/HLA-E",5
"GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I","4/60","23/18986",0.173913043478261,55.031884057971,14.5986270868021,7.62798521384852e-07,0.000132574383016687,8.9689047198619e-05,"B2M/HLA-A/HLA-B/HLA-E",4
"GO:0002475","antigen processing and presentation via MHC class Ib","4/60","25/18986",0.16,50.6293333333333,13.980713456676,1.08458005356435e-06,0.000171363648463168,0.000115930710031711,"B2M/HLA-A/HLA-B/HLA-E",4
"GO:0001913","T cell mediated cytotoxicity","5/60","61/18986",0.0819672131147541,25.9371584699454,10.983618669529,1.38118817884433e-06,0.00020004208790262,0.000135332210155185,"B2M/HLA-A/HLA-B/HLA-DRA/HLA-E",5
"GO:0001906","cell killing","8/60","264/18986",0.0303030303030303,9.58888888888889,7.91251115903897,1.72128608531465e-06,0.000223721780294298,0.000151351964501684,"C3/GAPDH/B2M/LGALS3/HLA-A/HLA-B/HLA-DRA/HLA-E",8
"GO:0019730","antimicrobial humoral response","7/60","185/18986",0.0378378378378378,11.9731531531532,8.44458552050899,1.8592917908883e-06,0.000223721780294298,0.000151351964501684,"WFDC2/GAPDH/SLPI/B2M/LGALS3/HLA-A/HLA-E",7
"GO:0019882","antigen processing and presentation","6/60","118/18986",0.0508474576271186,16.0898305084746,9.25793100043401,1.93085541105551e-06,0.000223721780294298,0.000151351964501684,"B2M/CD74/HLA-A/HLA-B/HLA-DRA/HLA-E",6
"GO:0001912","positive regulation of leukocyte mediated cytotoxicity","5/60","71/18986",0.0704225352112676,22.2840375586854,10.1165288931353,2.95068389063004e-06,0.000320518037619688,0.000216836441173273,"B2M/HLA-A/HLA-B/HLA-DRA/HLA-E",5
"GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","6/60","133/18986",0.0451127819548872,14.2751879699248,8.65023236888834,3.87337558454805e-06,0.000374045878265776,0.000253049025512005,"C3/B2M/HLA-A/HLA-B/HLA-DRA/HLA-E",6
"GO:0002711","positive regulation of T cell mediated immunity","5/60","75/18986",0.0666666666666667,21.0955555555556,9.81804254005946,3.87389287041655e-06,0.000374045878265776,0.000253049025512005,"B2M/HLA-A/HLA-B/HLA-DRA/HLA-E",5
"GO:0002708","positive regulation of lymphocyte mediated immunity","6/60","136/18986",0.0441176470588235,13.9602941176471,8.54043796351415,4.40702685454921e-06,0.000395788498682457,0.000267758314474172,"C3/B2M/HLA-A/HLA-B/HLA-DRA/HLA-E",6
"GO:0031343","positive regulation of cell killing","5/60","78/18986",0.0641025641025641,20.284188034188,9.60898178410576,4.70423157285653e-06,0.000395788498682457,0.000267758314474172,"B2M/HLA-A/HLA-B/HLA-DRA/HLA-E",5
"GO:0002821","positive regulation of adaptive immune response","6/60","139/18986",0.0431654676258993,13.6589928057554,8.43406504314452,4.99902159489985e-06,0.000395788498682457,0.000267758314474172,"C3/B2M/HLA-A/HLA-B/HLA-DRA/HLA-E",6
"GO:0019731","antibacterial humoral response","5/60","79/18986",0.0632911392405063,20.0274261603376,9.54187640419217,5.00998099598047e-06,0.000395788498682457,0.000267758314474172,"WFDC2/SLPI/B2M/HLA-A/HLA-E",5
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","4/60","37/18986",0.108108108108108,34.209009009009,11.3845308473273,5.50446043056596e-06,0.000415945749057549,0.000281395070981335,"B2M/HLA-A/HLA-B/HLA-E",4
"GO:0002819","regulation of adaptive immune response","7/60","221/18986",0.0316742081447964,10.0227752639517,7.59649927577987,6.02291031511919e-06,0.000436159088653215,0.000295069772894216,"C3/B2M/HLA-A/HLA-B/HLA-DRA/IRF1/HLA-E",7
"GO:0007159","leukocyte cell-cell adhesion","9/60","430/18986",0.0209302325581395,6.62302325581395,6.64069346448023,7.66490892733639e-06,0.000532864468628426,0.000360492769340411,"B2M/CD74/ACTB/LGALS3/EZR/HLA-A/HLA-DRA/IRF1/HLA-E",9
"GO:0002705","positive regulation of leukocyte mediated immunity","6/60","158/18986",0.0379746835443038,12.0164556962025,7.82924437481857,1.04325699153493e-05,0.000697377173572193,0.000471788688074702,"C3/B2M/HLA-A/HLA-B/HLA-DRA/HLA-E",6
"GO:0001910","regulation of leukocyte mediated cytotoxicity","5/60","98/18986",0.0510204081632653,16.1445578231293,8.46307435624203,1.44199289301785e-05,0.00092821616595001,0.000627955579532531,"B2M/HLA-A/HLA-B/HLA-DRA/HLA-E",5
"GO:0002486","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent","3/60","16/18986",0.1875,59.33125,13.142534238698,1.63180013834515e-05,0.00101288165730139,0.00068523336636524,"HLA-A/HLA-B/HLA-E",3
"GO:0002476","antigen processing and presentation of endogenous peptide antigen via MHC class Ib","3/60","17/18986",0.176470588235294,55.8411764705882,12.7368053955826,1.97701561486599e-05,0.00114535104621237,0.000774851383089584,"HLA-A/HLA-B/HLA-E",3
"GO:0002484","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway","3/60","17/18986",0.176470588235294,55.8411764705882,12.7368053955826,1.97701561486599e-05,0.00114535104621237,0.000774851383089584,"HLA-A/HLA-B/HLA-E",3
"GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","5/60","106/18986",0.0471698113207547,14.9261006289308,8.09530050376436,2.11071776541291e-05,0.00118336370202827,0.000800567654997018,"CLU/CD74/SOD2/IER3/DDIT4",5
"GO:0002709","regulation of T cell mediated immunity","5/60","108/18986",0.0462962962962963,14.6496913580247,8.00955201876203,2.31050022536696e-05,0.00121955761748303,0.000825053515067861,"B2M/HLA-A/HLA-B/HLA-DRA/HLA-E",5
"GO:0002699","positive regulation of immune effector process","7/60","272/18986",0.0257352941176471,8.14350490196078,6.6813464905366,2.31561572939816e-05,0.00121955761748303,0.000825053515067861,"C3/B2M/CD74/HLA-A/HLA-B/HLA-DRA/HLA-E",7
"GO:0031341","regulation of cell killing","5/60","112/18986",0.0446428571428571,14.1264880952381,7.84471360638058,2.75401124188916e-05,0.00136996675527432,0.000926808107105213,"B2M/HLA-A/HLA-B/HLA-DRA/HLA-E",5
"GO:0002449","lymphocyte mediated immunity","8/60","386/18986",0.0207253886010363,6.55820379965458,6.21188139515099,2.75885134836601e-05,0.00136996675527432,0.000926808107105213,"CLU/C3/B2M/CD74/HLA-A/HLA-B/HLA-DRA/HLA-E",8
"GO:1903037","regulation of leukocyte cell-cell adhesion","8/60","392/18986",0.0204081632653061,6.4578231292517,6.14791119648102,3.07906928493058e-05,0.00146709620372234,0.000992517993796774,"B2M/CD74/ACTB/LGALS3/HLA-A/HLA-DRA/IRF1/HLA-E",8
"GO:0050863","regulation of T cell activation","8/60","393/18986",0.0203562340966921,6.44139100932994,6.1373795696864,3.13535466815419e-05,0.00146709620372234,0.000992517993796774,"B2M/CD74/ACTB/LGALS3/HLA-A/HLA-DRA/IRF1/HLA-E",8
"GO:0045953","negative regulation of natural killer cell mediated cytotoxicity","3/60","20/18986",0.15,47.465,11.7058936527062,3.29210310386486e-05,0.00146709620372234,0.000992517993796774,"HLA-A/HLA-B/HLA-E",3
"GO:2001185","regulation of CD8-positive, alpha-beta T cell activation","3/60","20/18986",0.15,47.465,11.7058936527062,3.29210310386486e-05,0.00146709620372234,0.000992517993796774,"HLA-A/IRF1/HLA-E",3
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","8/60","400/18986",0.02,6.32866666666667,6.06466883908656,3.55403799208404e-05,0.00151370063253412,0.00102404676066901,"CLU/C3/B2M/CD74/HLA-A/HLA-B/HLA-DRA/HLA-E",8
"GO:0002706","regulation of lymphocyte mediated immunity","6/60","198/18986",0.0303030303030303,9.58888888888889,6.8403891886478,3.73755262067275e-05,0.00151370063253412,0.00102404676066901,"C3/B2M/HLA-A/HLA-B/HLA-DRA/HLA-E",6
"GO:0002396","MHC protein complex assembly","3/60","21/18986",0.142857142857143,45.2047619047619,11.411790432428,3.83215350008637e-05,0.00151370063253412,0.00102404676066901,"B2M/HLA-A/HLA-DRA",3
"GO:0002501","peptide antigen assembly with MHC protein complex","3/60","21/18986",0.142857142857143,45.2047619047619,11.411790432428,3.83215350008637e-05,0.00151370063253412,0.00102404676066901,"B2M/HLA-A/HLA-DRA",3
"GO:0002716","negative regulation of natural killer cell mediated immunity","3/60","21/18986",0.142857142857143,45.2047619047619,11.411790432428,3.83215350008637e-05,0.00151370063253412,0.00102404676066901,"HLA-A/HLA-B/HLA-E",3
"GO:0046634","regulation of alpha-beta T cell activation","5/60","122/18986",0.040983606557377,12.9685792349727,7.46718874230546,4.15402211409399e-05,0.00159922031633298,0.00108190242465262,"LGALS3/HLA-A/HLA-DRA/IRF1/HLA-E",5
"GO:0002697","regulation of immune effector process","8/60","410/18986",0.0195121951219512,6.17430894308943,5.96375358784861,4.23268898454067e-05,0.00159922031633298,0.00108190242465262,"C3/B2M/CD74/LGALS3/HLA-A/HLA-B/HLA-DRA/HLA-E",8
"GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","6/60","206/18986",0.029126213592233,9.21650485436893,6.67612470597679,4.66263176647561e-05,0.00172418170428396,0.00116644113844418,"C3/B2M/HLA-A/HLA-B/HLA-DRA/HLA-E",6
"GO:0009615","response to virus","8/60","425/18986",0.0188235294117647,5.95639215686275,5.8184987957994,5.45184413881237e-05,0.00197402189859498,0.00133546269803803,"CLU/IFI27/IFITM3/ITGB8/HSPB1/MX1/IRF1/DDIT4",8
"GO:1903706","regulation of hemopoiesis","8/60","433/18986",0.0184757505773672,5.84634334103156,5.74384302686728,6.21369846097692e-05,0.00220396080105671,0.00149102066184989,"B2M/CD74/ACTB/HLA-B/FOS/HLA-DRA/IRF1/ZFP36L1",8
"GO:0044706","multi-multicellular organism process","6/60","218/18986",0.0275229357798165,8.70917431192661,6.44582667048373,6.38609000831898e-05,0.00221980488689168,0.00150173948195627,"CTSB/TIMP1/HSPG2/CLIC5/B4GALT1/FOS",6
