"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002262","myeloid cell homeostasis","9/84","183/18986",0.0491803278688525,11.115925058548,9.16660757564527,1.16598329043751e-07,0.000271674106671939,0.000204599383700981,"IKZF1/BCL2L11/MERTK/KCNQ1/B2M/FOXO3/JAK2/PDE4B/CDK6",9
"GO:0048872","homeostasis of number of cells","11/84","339/18986",0.0324483775811209,7.33410591375193,7.84461707772121,2.90612775623712e-07,0.000284614967615779,0.000214345222957083,"IKZF1/BCL2L11/MEF2C/TSC22D3/MERTK/KCNQ1/B2M/FOXO3/JAK2/PDE4B/CDK6",11
"GO:0030098","lymphocyte differentiation","12/84","426/18986",0.028169014084507,6.36686787391013,7.46840363326617,3.66457039848642e-07,0.000284614967615779,0.000214345222957083,"PRDM1/PLCG2/IKZF1/PLCL2/MERTK/PTK2B/B2M/FOXO3/HDAC9/RUNX2/RUNX1/CDK6",12
"GO:0031589","cell-substrate adhesion","11/84","361/18986",0.0304709141274238,6.8871520907532,7.52838429890715,5.42101468897501e-07,0.0002894143790756,0.000217959688239903,"ARHGAP6/BCL2L11/ST6GAL1/MERTK/PTPN1/PTK2B/NEDD9/ITGA6/COL8A1/JAK2/CDK6",11
"GO:0010810","regulation of cell-substrate adhesion","9/84","223/18986",0.0403587443946188,9.12203715566944,8.13312277854152,6.21060899303862e-07,0.0002894143790756,0.000217959688239903,"ARHGAP6/ST6GAL1/PTPN1/PTK2B/NEDD9/ITGA6/COL8A1/JAK2/CDK6",9
"GO:0030099","myeloid cell differentiation","11/84","451/18986",0.024390243902439,5.51277584204413,6.46586751854148,4.69524801942681e-06,0.00182332131421075,0.00137315411375167,"IKZF1/MEF2C/LARGE1/KCNQ1/PTK2B/NEDD9/B2M/FOXO3/JAK2/RUNX1/CDK6",11
"GO:0070059","intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress","5/84","66/18986",0.0757575757575758,17.1230158730159,8.74679096429488,1.08669348275366e-05,0.00266763059803954,0.00200900845129068,"HERPUD1/ERN1/BCL2L11/PTPN1/TMEM117",5
"GO:0001958","endochondral ossification","4/84","32/18986",0.125,28.2529761904762,10.2855981354114,1.16644667697525e-05,0.00266763059803954,0.00200900845129068,"MEF2C/BMP6/RUNX2/CSGALNACT1",4
"GO:0036075","replacement ossification","4/84","32/18986",0.125,28.2529761904762,10.2855981354114,1.16644667697525e-05,0.00266763059803954,0.00200900845129068,"MEF2C/BMP6/RUNX2/CSGALNACT1",4
"GO:0045785","positive regulation of cell adhesion","11/84","499/18986",0.0220440881763527,4.98248878709801,6.00983679395965,1.21802215458732e-05,0.00266763059803954,0.00200900845129068,"PTK2B/NEDD9/ITGA6/B2M/FOXO3/COL8A1/ADAM19/JAK2/RUNX1/TGFB2/CDK6",11
"GO:0002062","chondrocyte differentiation","6/84","116/18986",0.0517241379310345,11.6908866995074,7.69923961418708,1.25939641967532e-05,0.00266763059803954,0.00200900845129068,"CREB3L2/MEF2C/BMP6/CHST11/RUNX2/RUNX1",6
"GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","6/84","118/18986",0.0508474576271186,11.4927360774818,7.62180587904643,1.38878448122822e-05,0.0026965565343848,0.002030792745796,"PLCG2/PECAM1/PTPN1/BMP6/NEDD9/JAK2",6
"GO:0043523","regulation of neuron apoptotic process","8/84","254/18986",0.031496062992126,7.11886014248219,6.5446492296125,1.66704612597412e-05,0.00298785959501515,0.0022501748113351,"CPEB4/BTG2/BCL2L11/MEF2C/PTK2B/FOXO3/JAK2/TGFB2",8
"GO:0010811","positive regulation of cell-substrate adhesion","6/84","126/18986",0.0476190476190476,10.7630385487528,7.32977252540875,2.01820228906323e-05,0.00335886523822666,0.00252958136531459,"PTK2B/NEDD9/ITGA6/COL8A1/JAK2/CDK6",6
"GO:1900103","positive regulation of endoplasmic reticulum unfolded protein response","3/84","13/18986",0.230769230769231,52.1593406593407,12.3004124961394,2.31417162496216e-05,0.00359467992410789,0.00270717480618381,"ERN1/BCL2L11/PTPN1",3
"GO:1905898","positive regulation of response to endoplasmic reticulum stress","4/84","40/18986",0.1,22.602380952381,9.11725105925015,2.88566951891576e-05,0.00420225623692107,0.00316474413686353,"HERPUD1/ERN1/BCL2L11/PTPN1",4
"GO:0018108","peptidyl-tyrosine phosphorylation","7/84","204/18986",0.0343137254901961,7.75571895424837,6.46705871676172,3.35601732102407e-05,0.00437974832798415,0.00329841448509129,"PLCG2/PECAM1/PTPN1/BMP6/PTK2B/NEDD9/JAK2",7
"GO:0030218","erythrocyte differentiation","6/84","139/18986",0.0431654676258993,9.75642343268243,6.90723296021767,3.51528830732975e-05,0.00437974832798415,0.00329841448509129,"IKZF1/KCNQ1/B2M/FOXO3/JAK2/CDK6",6
"GO:0018212","peptidyl-tyrosine modification","7/84","206/18986",0.0339805825242718,7.68042071197411,6.42659148716458,3.57146859363514e-05,0.00437974832798415,0.00329841448509129,"PLCG2/PECAM1/PTPN1/BMP6/PTK2B/NEDD9/JAK2",7
"GO:0051216","cartilage development","7/84","209/18986",0.0334928229665072,7.57017543859649,6.36690061350346,3.91587973258902e-05,0.00456199988846621,0.00343566921801363,"CREB3L2/MEF2C/BMP6/CHST11/RUNX2/RUNX1/CSGALNACT1",7
"GO:0061448","connective tissue development","8/84","290/18986",0.0275862068965517,6.23513957307061,5.98885748484853,4.29330015766791e-05,0.00476351874636487,0.00358743426708391,"CREB3L2/MEF2C/LARGE1/BMP6/CHST11/RUNX2/RUNX1/CSGALNACT1",8
"GO:0009791","post-embryonic development","5/84","89/18986",0.0561797752808989,12.6979668271803,7.37394716647135,4.661072189644e-05,0.00493649918266842,0.00371770686130936,"PRDM1/BCL2L11/LARGE1/CHST11/JAK2",5
"GO:0042327","positive regulation of phosphorylation","10/84","479/18986",0.0208768267223382,4.71865990655135,5.49512112815145,4.94358611732935e-05,0.00500806767538147,0.00377160551834692,"ERN1/PLCG2/PECAM1/PTPN1/BMP6/PTK2B/NEDD9/ITGA6/JAK2/TGFB2",10
"GO:0045637","regulation of myeloid cell differentiation","7/84","219/18986",0.0319634703196347,7.22450532724505,6.1761884339171,5.26683706815892e-05,0.00501856292412695,0.0037795095525275,"MEF2C/PTK2B/NEDD9/B2M/FOXO3/RUNX1/CDK6",7
"GO:0034101","erythrocyte homeostasis","6/84","150/18986",0.04,9.04095238095238,6.59097771448824,5.38472416751819e-05,0.00501856292412695,0.0037795095525275,"IKZF1/KCNQ1/B2M/FOXO3/JAK2/CDK6",6
"GO:2000106","regulation of leukocyte apoptotic process","5/84","93/18986",0.0537634408602151,12.1518177163338,7.18667058088581,5.7559312183662e-05,0.00515819989953587,0.00388467098826577,"BCL2L11/MEF2C/ST6GAL1/TSC22D3/MERTK",5
"GO:0051402","neuron apoptotic process","8/84","307/18986",0.0260586319218241,5.88987125794943,5.75812205087624,6.40864360919205e-05,0.00553042207756203,0.00416499372184138,"CPEB4/BTG2/BCL2L11/MEF2C/PTK2B/FOXO3/JAK2/TGFB2",8
"GO:0007162","negative regulation of cell adhesion","8/84","314/18986",0.0254777070063694,5.75856839551107,5.66809061844604,7.50173017366065e-05,0.00624251118022476,0.00470127225544824,"ARHGAP6/PLXNC1/PAG1/PTPN1/BMP6/PELI1/JAK2/RUNX1",8
"GO:0050730","regulation of peptidyl-tyrosine phosphorylation","6/84","162/18986",0.037037037037037,8.37125220458554,6.28107364094161,8.25467327788858e-05,0.00663220301292427,0.00499475148974238,"PLCG2/PECAM1/PTPN1/BMP6/NEDD9/JAK2",6
"GO:0030041","actin filament polymerization","6/84","167/18986",0.0359281437125748,8.12061591103507,6.16124656699598,9.76151480492785e-05,0.00758144316516063,0.00570962988765429,"ARHGAP6/FCHSD2/PTK2B/JAK2/SSH2/CYRIA",6
"GO:0036498","IRE1-mediated unfolded protein response","3/84","21/18986",0.142857142857143,32.2891156462585,9.56351573261448,0.000104898838059502,0.00788433202189157,0.00593773728506585,"ERN1/BCL2L11/PTPN1",3
"GO:1903706","regulation of hemopoiesis","9/84","433/18986",0.0207852193995381,4.69795447047179,5.18906965000393,0.000124653762806448,0.00907635210434449,0.00683545469073516,"PRDM1/MEF2C/PTK2B/NEDD9/B2M/FOXO3/HLA-B/RUNX1/CDK6",9
