"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050851","antigen receptor-mediated signaling pathway","10/89","212/18986",0.0471698113207547,10.062539749841,9.10632866322964,5.7489992992915e-08,0.000113715206139986,9.54939041503367e-05,"PTPRC/PRKCH/FYN/BCL2/HLA-A/PLCL2/SKAP1/VAV3/PTPRJ/CBLB",10
"GO:0001913","T cell mediated cytotoxicity","6/89","61/18986",0.0983606557377049,20.9828697734389,10.7277514803798,4.03833900451034e-07,0.000399391727546073,0.000335394681532491,"PTPRC/HLA-A/B2M/HLA-B/HLA-E/RAB27A",6
"GO:0007159","leukocyte cell-cell adhesion","12/89","430/18986",0.027906976744186,5.95327933106872,7.12998700480971,7.67850177479691e-07,0.000436973804902128,0.000366954746493299,"PTPRC/ETS1/PAG1/FYN/STK10/HLA-A/B2M/SKAP1/HLA-E/CD44/CBLB/RIPOR2",12
"GO:0046651","lymphocyte proliferation","10/89","297/18986",0.0336700336700337,7.18268830628381,7.36998183975159,1.28950798702647e-06,0.000436973804902128,0.000366954746493299,"PTPRC/FYN/BCL2/HLA-A/PLCL2/HLA-E/VAV3/CBLB/RIPOR2/CCND3",10
"GO:0002428","antigen processing and presentation of peptide antigen via MHC class Ib","4/89","18/18986",0.222222222222222,47.4057428214732,13.5176464511892,1.31283489564642e-06,0.000436973804902128,0.000366954746493299,"HLA-A/B2M/HLA-B/HLA-E",4
"GO:0001916","positive regulation of T cell mediated cytotoxicity","5/89","41/18986",0.121951219512195,26.0153466703206,11.0041125050237,1.32550193600241e-06,0.000436973804902128,0.000366954746493299,"PTPRC/HLA-A/B2M/HLA-B/HLA-E",5
"GO:0032943","mononuclear cell proliferation","10/89","305/18986",0.0327868852459016,6.99428992447965,7.24254957339107,1.6383079644233e-06,0.000462939021947042,0.000388759393663154,"PTPRC/FYN/BCL2/HLA-A/PLCL2/HLA-E/VAV3/CBLB/RIPOR2/CCND3",10
"GO:1903037","regulation of leukocyte cell-cell adhesion","11/89","392/18986",0.0280612244897959,5.986184361385,6.84587279264623,2.18083219149176e-06,0.000539210759346337,0.000452809631338683,"PTPRC/ETS1/PAG1/FYN/HLA-A/B2M/SKAP1/HLA-E/CD44/CBLB/RIPOR2",11
"GO:0045785","positive regulation of cell adhesion","12/89","499/18986",0.0240480961923848,5.13008038549008,6.41622269855334,3.60225890958957e-06,0.000660087963308543,0.000554317921399011,"PTPRC/ETS1/FYN/HLA-A/B2M/SKAP1/HLA-E/CD44/PREX1/VAV3/PTPRJ/ANK3",12
"GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I","4/89","23/18986",0.173913043478261,37.1001465559355,11.8883951818146,3.73162246868317e-06,0.000660087963308543,0.000554317921399011,"HLA-A/B2M/HLA-B/HLA-E",4
"GO:0002429","immune response-activating cell surface receptor signaling pathway","10/89","336/18986",0.0297619047619048,6.34898341359015,6.78899274175702,3.88653895690201e-06,0.000660087963308543,0.000554317921399011,"PTPRC/PRKCH/FYN/BCL2/HLA-A/PLCL2/SKAP1/VAV3/PTPRJ/CBLB",10
"GO:0001914","regulation of T cell mediated cytotoxicity","5/89","51/18986",0.0980392156862745,20.9142983035911,9.77285182619096,4.00457813938449e-06,0.000660087963308543,0.000554317921399011,"PTPRC/HLA-A/B2M/HLA-B/HLA-E",5
"GO:0070661","leukocyte proliferation","10/89","341/18986",0.0293255131964809,6.25588981515042,6.72118919029103,4.42908847839072e-06,0.000673902846942834,0.000565919159425146,"PTPRC/FYN/BCL2/HLA-A/PLCL2/HLA-E/VAV3/CBLB/RIPOR2/CCND3",10
"GO:0002475","antigen processing and presentation via MHC class Ib","4/89","25/18986",0.16,34.1321348314607,11.3760810561271,5.29284314456864e-06,0.000697949582663784,0.000586112735588022,"HLA-A/B2M/HLA-B/HLA-E",4
