"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007409","axonogenesis","12/89","459/18986",0.0261437908496732,5.57714621429096,6.81243623818557,1.5203435147038e-06,0.00212550665472481,0.00184973441829111,"PRKG1/DCLK1/MAP1B/UNC5C/KALRN/PALLD/PRICKLE1/PTPRM/TIAM1/CHL1/VCL/NFIB",12
"GO:0001654","eye development","11/89","411/18986",0.0267639902676399,5.70945077776866,6.62415726200484,3.43734103803408e-06,0.00212550665472481,0.00184973441829111,"TENM3/CLIC4/LARGE1/SPRED1/PRICKLE1/PTPRM/PBX1/ZHX2/WT1/NFIB/SDK1",11
"GO:0150063","visual system development","11/89","415/18986",0.0265060240963855,5.6544199268986,6.57924166770082,3.77097862186855e-06,0.00212550665472481,0.00184973441829111,"TENM3/CLIC4/LARGE1/SPRED1/PRICKLE1/PTPRM/PBX1/ZHX2/WT1/NFIB/SDK1",11
"GO:0048880","sensory system development","11/89","422/18986",0.0260663507109005,5.56062623142872,6.50202745514713,4.42353101919837e-06,0.00212550665472481,0.00184973441829111,"TENM3/CLIC4/LARGE1/SPRED1/PRICKLE1/PTPRM/PBX1/ZHX2/WT1/NFIB/SDK1",11
"GO:0043010","camera-type eye development","10/89","362/18986",0.0276243093922652,5.89297908001738,6.45052459144312,7.49047272026503e-06,0.00287933771366988,0.00250576024263182,"TENM3/CLIC4/LARGE1/SPRED1/PRICKLE1/PTPRM/ZHX2/WT1/NFIB/SDK1",10
"GO:0016055","Wnt signaling pathway","11/89","476/18986",0.023109243697479,4.92979888584647,5.95901480877675,1.37495023740611e-05,0.00440442392715756,0.00383297531094439,"ROR2/BICC1/PRICKLE2/GRK5/PRICKLE1/RBMS3/FOXO3/FOXO1/PRKN/TIAM1/EDA",11
"GO:2000146","negative regulation of cell motility","10/89","398/18986",0.0251256281407035,5.35994579639772,6.03267830126523,1.70476689251261e-05,0.00468080281058462,0.00407349562737224,"PRKG1/DPYSL3/CLIC4/SPRED1/GNA12/FOXO3/PTPRG/PTPRM/VCL/FRMD5",10
"GO:0040013","negative regulation of locomotion","10/89","416/18986",0.0240384615384615,5.12802506482282,5.84234113083155,2.48967331357861e-05,0.00598144013587261,0.00520538275694264,"PRKG1/DPYSL3/CLIC4/SPRED1/GNA12/FOXO3/PTPRG/PTPRM/VCL/FRMD5",10
"GO:0090090","negative regulation of canonical Wnt signaling pathway","6/89","149/18986",0.0402684563758389,8.59030239046829,6.38337290649953,7.18152207461243e-05,0.0123846025904047,0.0107777717926245,"BICC1/PRICKLE1/RBMS3/FOXO3/FOXO1/PRKN",6
"GO:0030336","negative regulation of cell migration","9/89","383/18986",0.0234986945169713,5.01287881010356,5.44462296451631,7.72147961817476e-05,0.0123846025904047,0.0107777717926245,"PRKG1/DPYSL3/CLIC4/SPRED1/GNA12/FOXO3/PTPRG/PTPRM/VCL",9
