Cluster	ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	geneSymbol
Ko_Oe_Beta2	CC	GO:0071565	nBAF complex	8/2899	16/29872	0.5	5.15212142117972	5.44626272772359	4.90224126066408e-05	0.000246941488930605	0.000132645617253163	Smarcc1/Arid1a/Arid1b/Smarca4/Actb/Dpf2/Smarca2/Smarcc2	8	Smarcc1/Arid1a/Arid1b/Smarca4/Actb/Dpf2/Smarca2/Smarcc2
Ko_Oe_Beta2	BP	GO:0010662	regulation of striated muscle cell apoptotic process	18/2899	67/29872	0.26865671641791	2.76830404720104	4.75044333017442	4.91245578822358e-05	0.000247299607442557	0.000132837982056961	Bnip3/Camk2d/Jak2/Cflar/Smad4/Slc25a4/Gch1/Pdpk1/Atp2a2/Ppp1r10/Pten/Eif5a/Npm1/Ambra1/Nupr1/Mff/Pcmt1/Naca	18	Bnip3/Camk2d/Jak2/Cflar/Smad4/Slc25a4/Gch1/Pdpk1/Atp2a2/Ppp1r10/Pten/Eif5a/Npm1/Ambra1/Nupr1/Mff/Pcmt1/Naca
Ko_Oe_Beta2	BP	GO:0030032	lamellipodium assembly	19/2899	73/29872	0.26027397260274	2.68192621924424	4.71684807346669	4.94096482766845e-05	0.000248577661955474	0.000133524494195861	Itgb1/Cdc42/Atp7a/Hsp90aa1/Dnm2/Actr3/Ablim1/Auts2/Mtor/Ccdc88a/Golph3/Arpc2/Actr2/Abi2/Rac1/Capzb/Fgd4/Cfl1/Nckap1	19	Itgb1/Cdc42/Atp7a/Hsp90aa1/Dnm2/Actr3/Ablim1/Auts2/Mtor/Ccdc88a/Golph3/Arpc2/Actr2/Abi2/Rac1/Capzb/Fgd4/Cfl1/Nckap1
Ko_Oe_Beta2	BP	GO:0051310	metaphase chromosome alignment	23/2899	98/29872	0.23469387755102	2.41834270790068	4.61062699190073	5.01884443838289e-05	0.000252336345374251	0.000135543486161537	Spc25/Chmp2a/Kat5/Vps4a/Rb1/Tex14/Eml4/Cdc42/Mapre1/Rcc2/Kpnb1/Vps4b/Zfp207/Dync1h1/Zwint/Apc/Numa1/Cul3/Rab11a/Chmp5/Hnrnpu/Chmp4b/Cenpc1	23	Spc25/Chmp2a/Kat5/Vps4a/Rb1/Tex14/Eml4/Cdc42/Mapre1/Rcc2/Kpnb1/Vps4b/Zfp207/Dync1h1/Zwint/Apc/Numa1/Cul3/Rab11a/Chmp5/Hnrnpu/Chmp4b/Cenpc1
Ko_Oe_Beta2	BP	GO:0006998	nuclear envelope organization	15/2899	50/29872	0.3	3.09127285270783	4.8518982146119	5.13504689700378e-05	0.000257366352975067	0.000138245375041724	Nup93/Chmp2a/Vps4a/Ndel1/Vps4b/Akap8l/Tardbp/Ubxn2a/Lmna/Tor1aip1/Chmp5/Pafah1b1/Brox/Chmp4b/Tor1b	15	Nup93/Chmp2a/Vps4a/Ndel1/Vps4b/Akap8l/Tardbp/Ubxn2a/Lmna/Tor1aip1/Chmp5/Pafah1b1/Brox/Chmp4b/Tor1b
Ko_Oe_Beta2	MF	GO:0009055	electron transfer activity	15/2899	50/29872	0.3	3.09127285270783	4.8518982146119	5.13504689700378e-05	0.000257366352975067	0.000138245375041724	Ndufa2/Por/Ndufb7/Ndufv1/Sdha/Ndufs1/Ndufs7/Ndufs4/Uqcrh/Ndufs2/Ndufv2/Ndufa10/Ndufs3/Sdhb/Cox5a	15	Ndufa2/Por/Ndufb7/Ndufv1/Sdha/Ndufs1/Ndufs7/Ndufs4/Uqcrh/Ndufs2/Ndufv2/Ndufa10/Ndufs3/Sdhb/Cox5a
Ko_Oe_Beta2	BP	GO:0045663	positive regulation of myoblast differentiation	15/2899	50/29872	0.3	3.09127285270783	4.8518982146119	5.13504689700378e-05	0.000257366352975067	0.000138245375041724	Kat5/Mapk14/Zfhx3/Arid2/Smarcc1/Arid1a/Plcb1/Arid1b/Btg1/Smarca4/Actb/Pbrm1/Smarca2/Nr2c2/Smarcc2	15	Kat5/Mapk14/Zfhx3/Arid2/Smarcc1/Arid1a/Plcb1/Arid1b/Btg1/Smarca4/Actb/Pbrm1/Smarca2/Nr2c2/Smarcc2
Ko_Oe_Beta2	BP	GO:0045981	positive regulation of nucleotide metabolic process	15/2899	50/29872	0.3	3.09127285270783	4.8518982146119	5.13504689700378e-05	0.000257366352975067	0.000138245375041724	Mlxipl/Ins1/App/Ins2/Ndufc2/Eno1/Zbtb20/Ppp2ca/Mtor/Prkn/Stat3/Rptor/Insr/Vcp/Psen1	15	Mlxipl/Ins1/App/Ins2/Ndufc2/Eno1/Zbtb20/Ppp2ca/Mtor/Prkn/Stat3/Rptor/Insr/Vcp/Psen1
Ko_Oe_Beta2	BP	GO:1900544	positive regulation of purine nucleotide metabolic process	15/2899	50/29872	0.3	3.09127285270783	4.8518982146119	5.13504689700378e-05	0.000257366352975067	0.000138245375041724	Mlxipl/Ins1/App/Ins2/Ndufc2/Eno1/Zbtb20/Ppp2ca/Mtor/Prkn/Stat3/Rptor/Insr/Vcp/Psen1	15	Mlxipl/Ins1/App/Ins2/Ndufc2/Eno1/Zbtb20/Ppp2ca/Mtor/Prkn/Stat3/Rptor/Insr/Vcp/Psen1
Ko_Oe_Beta2	MF	GO:0001664	G protein-coupled receptor binding	56/2899	338/29872	0.165680473372781	1.7072118318702	4.2867790068093	5.16447438451373e-05	0.000258678452819291	0.000138950174767718	Ppy/Magi3/Pyy/Pdyn/Magi2/Pde4d/Chrm3/Ucn3/Grk3/Gnai3/Gcg/App/Nsf/Jak2/Myh9/Vps35/Psap/Gnai2/Rapgef2/Prnp/Arhgef11/Znrf3/Gna11/Bicd1/Dnaja1/Itch/Usp33/Gnao1/Wls/Arhgef12/Dnm3/Ppp2ca/Dnm2/Arhgef1/Atp2a2/Hspa8/Prkn/Usp4/Aplp1/Stat3/Calm2/Jak1/Ptpn11/Prkar2a/Gnaq/Sdcbp/Calm1/Wnt4/Tmed2/Gnas/Nedd4/Stub1/Pdcd6ip/Snx5/Psmc5/Lrp6	56	Ppy/Magi3/Pyy/Pdyn/Magi2/Pde4d/Chrm3/Ucn3/Grk3/Gnai3/Gcg/App/Nsf/Jak2/Myh9/Vps35/Psap/Gnai2/Rapgef2/Prnp/Arhgef11/Znrf3/Gna11/Bicd1/Dnaja1/Itch/Usp33/Gnao1/Wls/Arhgef12/Dnm3/Ppp2ca/Dnm2/Arhgef1/Atp2a2/Hspa8/Prkn/Usp4/Aplp1/Stat3/Calm2/Jak1/Ptpn11/Prkar2a/Gnaq/Sdcbp/Calm1/Wnt4/Tmed2/Gnas/Nedd4/Stub1/Pdcd6ip/Snx5/Psmc5/Lrp6
